,Model,Accuracy,Precision,Recall,F1-score,F1-micro,F1-weight,Brier,AUC,MCC,Type,Dataset
0,DT-PCA,72.34,70.46,76.91,73.54,72.34,72.29,0.28,0.72,0.56,Individual,Extract Class
1,DT-PCA,78.75,77.91,80.28,79.08,78.75,78.74,0.21,0.79,0.56,Individual,Extract Class
2,DT-PCA,75.89,75.07,77.52,76.28,75.89,75.88,0.24,0.76,0.56,Individual,Extract Class
3,DT-PCA,76.75,75.34,79.55,77.39,76.75,76.74,0.23,0.77,0.56,Individual,Extract Class
4,DT-PCA,80.57,82,78.33,80.12,80.57,80.56,0.19,0.81,0.56,Individual,Extract Class
5,DT-PCA,78.08,78.45,77.42,77.93,78.08,78.08,0.22,0.78,0.56,Individual,Extract Class
6,DT-PCA,79.35,78.88,80.16,79.52,79.35,79.35,0.21,0.79,0.56,Individual,Extract Class
7,DT-PCA,77.31,75.31,81.28,78.18,77.31,77.28,0.23,0.77,0.56,Individual,Extract Class
8,DT-PCA,82.15,83.55,80.06,81.77,82.15,82.14,0.18,0.82,0.56,Individual,Extract Class
9,DT-PCA,78.43,77.98,79.25,78.61,78.43,78.43,0.22,0.78,0.56,Individual,Extract Class
10,LR-PCA,72.04,67.2,86.06,75.47,72.04,71.48,0.18,0.8,0.55,Individual,Extract Class
11,LR-PCA,76.97,72.87,85.98,78.88,76.97,76.78,0.15,0.84,0.55,Individual,Extract Class
12,LR-PCA,76.2,71.58,86.88,78.49,76.2,75.92,0.16,0.83,0.55,Individual,Extract Class
13,LR-PCA,76.2,71.73,86.47,78.41,76.2,75.94,0.16,0.84,0.55,Individual,Extract Class
14,LR-PCA,81.69,79.25,85.86,82.42,81.69,81.66,0.13,0.89,0.55,Individual,Extract Class
15,LR-PCA,77.21,73.65,84.74,78.81,77.21,77.08,0.15,0.85,0.55,Individual,Extract Class
16,LR-PCA,73.3,69.12,84.23,75.93,73.3,72.97,0.16,0.83,0.55,Individual,Extract Class
17,LR-PCA,75.89,70.81,88.1,78.51,75.89,75.53,0.16,0.82,0.55,Individual,Extract Class
18,LR-PCA,82.55,80.36,86.16,83.16,82.55,82.53,0.12,0.9,0.55,Individual,Extract Class
19,LR-PCA,77.92,73.6,87.08,79.78,77.92,77.74,0.15,0.85,0.55,Individual,Extract Class
20,SVM-PCA,73.87,69.4,85.35,76.55,73.87,73.52,0.17,0.82,0.57,Individual,Extract Class
21,SVM-PCA,78.09,74.75,84.86,79.49,78.09,77.99,0.15,0.85,0.57,Individual,Extract Class
22,SVM-PCA,77.42,72.94,87.18,79.43,77.42,77.2,0.15,0.84,0.57,Individual,Extract Class
23,SVM-PCA,77.92,73.97,86.16,79.61,77.92,77.77,0.15,0.85,0.57,Individual,Extract Class
24,SVM-PCA,82.45,80.21,86.16,83.08,82.45,82.43,0.13,0.89,0.57,Individual,Extract Class
25,SVM-PCA,79.04,76.46,83.93,80.02,79.04,78.99,0.14,0.87,0.57,Individual,Extract Class
26,SVM-PCA,74.42,70.44,84.13,76.68,74.42,74.17,0.16,0.84,0.57,Individual,Extract Class
27,SVM-PCA,76.25,71.46,87.39,78.63,76.25,75.95,0.16,0.83,0.57,Individual,Extract Class
28,SVM-PCA,82.91,81.5,85.15,83.28,82.91,82.9,0.12,0.9,0.57,Individual,Extract Class
29,SVM-PCA,79.04,75.07,86.98,80.58,79.04,78.91,0.14,0.86,0.57,Individual,Extract Class
30,MLP-PCA,79.11,73.37,91.35,81.38,79.11,78.79,0.15,0.88,0.68,Individual,Extract Class
31,MLP-PCA,83.53,78.9,91.57,84.76,83.53,83.42,0.12,0.9,0.68,Individual,Extract Class
32,MLP-PCA,82.3,78.79,88.4,83.32,82.3,82.23,0.12,0.91,0.68,Individual,Extract Class
33,MLP-PCA,82.71,77.93,91.25,84.07,82.71,82.58,0.12,0.9,0.68,Individual,Extract Class
34,MLP-PCA,87.39,87.69,86.98,87.33,87.39,87.39,0.09,0.93,0.68,Individual,Extract Class
35,MLP-PCA,87.28,85.9,89.22,87.52,87.28,87.28,0.1,0.94,0.68,Individual,Extract Class
36,MLP-PCA,83.93,79.44,91.56,85.07,83.93,83.83,0.12,0.91,0.68,Individual,Extract Class
37,MLP-PCA,80.21,75.52,89.42,81.88,80.21,80.04,0.13,0.89,0.68,Individual,Extract Class
38,MLP-PCA,87.03,84.67,90.44,87.46,87.03,87.01,0.09,0.94,0.68,Individual,Extract Class
39,MLP-PCA,83.27,78.34,91.96,84.6,83.27,83.14,0.12,0.91,0.68,Individual,Extract Class
40,SGD-PCA,71.02,65.17,90.23,75.68,71.02,69.91,0.19,0.79,0.53,Individual,Extract Class
41,SGD-PCA,76.05,72.48,84.04,77.84,76.05,75.9,0.15,0.84,0.53,Individual,Extract Class
42,SGD-PCA,75.38,71.56,84.23,77.38,75.38,75.19,0.16,0.82,0.53,Individual,Extract Class
43,SGD-PCA,75.79,72.69,82.6,77.33,75.79,75.68,0.16,0.84,0.53,Individual,Extract Class
44,SGD-PCA,82.04,77.98,89.32,83.26,82.04,81.95,0.13,0.89,0.53,Individual,Extract Class
45,SGD-PCA,76.3,73.23,82.91,77.77,76.3,76.19,0.15,0.85,0.53,Individual,Extract Class
46,SGD-PCA,73.09,69.2,83.21,75.57,73.09,72.81,0.16,0.83,0.53,Individual,Extract Class
47,SGD-PCA,74.57,71.2,82.5,76.44,74.57,74.41,0.16,0.82,0.53,Individual,Extract Class
48,SGD-PCA,81.84,80.15,84.64,82.34,81.84,81.83,0.12,0.9,0.53,Individual,Extract Class
49,SGD-PCA,75.84,74.95,77.62,76.26,75.84,75.83,0.15,0.85,0.53,Individual,Extract Class
