,Model,Accuracy,Precision,Recall,F1-score,F1-micro,F1-weight,Brier,AUC,MCC,Type,Dataset
0,DT-PCA,71.09,73.75,65.5,69.38,71.09,71,0.29,0.71,0.43,Individual,Extract And Move Method
1,DT-PCA,70.22,74.04,62.26,67.64,70.22,70.03,0.3,0.7,0.43,Individual,Extract And Move Method
2,DT-PCA,70.75,75.75,61.05,67.61,70.75,70.48,0.29,0.71,0.43,Individual,Extract And Move Method
3,DT-PCA,69.2,71.43,64.02,67.52,69.2,69.12,0.31,0.69,0.43,Individual,Extract And Move Method
4,DT-PCA,74.39,76.23,70.89,73.46,74.39,74.36,0.26,0.74,0.43,Individual,Extract And Move Method
5,DT-PCA,73.11,75.18,69,71.96,73.11,73.07,0.27,0.73,0.43,Individual,Extract And Move Method
6,DT-PCA,74.66,76.83,70.62,73.6,74.66,74.62,0.25,0.75,0.43,Individual,Extract And Move Method
7,DT-PCA,68.87,71.94,61.86,66.52,68.87,68.71,0.31,0.69,0.43,Individual,Extract And Move Method
8,DT-PCA,71.21,72.95,67.34,70.04,71.21,71.16,0.29,0.71,0.43,Individual,Extract And Move Method
9,DT-PCA,67.77,71.02,60.11,65.11,67.77,67.58,0.32,0.68,0.43,Individual,Extract And Move Method
10,LR-PCA,71.23,67.44,82.08,74.04,71.23,70.88,0.19,0.8,0.46,Individual,Extract And Move Method
11,LR-PCA,70.69,67.79,78.84,72.9,70.69,70.49,0.19,0.78,0.46,Individual,Extract And Move Method
12,LR-PCA,69.95,67.83,75.88,71.63,69.95,69.84,0.18,0.8,0.46,Individual,Extract And Move Method
13,LR-PCA,73.58,68.94,85.85,76.47,73.58,73.18,0.18,0.8,0.46,Individual,Extract And Move Method
14,LR-PCA,74.26,70,84.91,76.74,74.26,73.96,0.18,0.81,0.46,Individual,Extract And Move Method
15,LR-PCA,73.05,69.21,83.02,75.49,73.05,72.78,0.19,0.8,0.46,Individual,Extract And Move Method
16,LR-PCA,74.93,69.94,87.47,77.72,74.93,74.53,0.18,0.82,0.46,Individual,Extract And Move Method
17,LR-PCA,71.97,69.09,79.51,73.93,71.97,71.81,0.19,0.78,0.46,Individual,Extract And Move Method
18,LR-PCA,73.97,69.83,84.35,76.41,73.97,73.69,0.18,0.81,0.46,Individual,Extract And Move Method
19,LR-PCA,69.86,67.25,77.49,72.01,69.86,69.68,0.2,0.76,0.46,Individual,Extract And Move Method
20,SVM-PCA,71.02,67.11,82.48,74,71.02,70.64,0.19,0.79,0.46,Individual,Extract And Move Method
21,SVM-PCA,70.89,68.11,78.57,72.97,70.89,70.72,0.19,0.77,0.46,Individual,Extract And Move Method
22,SVM-PCA,71.97,68.91,80.05,74.06,71.97,71.78,0.18,0.8,0.46,Individual,Extract And Move Method
23,SVM-PCA,73.38,69.09,84.64,76.08,73.38,73.04,0.18,0.8,0.46,Individual,Extract And Move Method
24,SVM-PCA,73.52,69.58,83.56,75.93,73.52,73.25,0.18,0.81,0.46,Individual,Extract And Move Method
25,SVM-PCA,72.51,68.98,81.81,74.85,72.51,72.27,0.19,0.79,0.46,Individual,Extract And Move Method
26,SVM-PCA,74.6,69.95,86.25,77.25,74.6,74.25,0.18,0.82,0.46,Individual,Extract And Move Method
27,SVM-PCA,71.7,68.85,79.25,73.68,71.7,71.54,0.2,0.77,0.46,Individual,Extract And Move Method
28,SVM-PCA,74.78,70.83,84.21,76.94,74.78,74.56,0.18,0.81,0.46,Individual,Extract And Move Method
29,SVM-PCA,70.13,67.57,77.49,72.19,70.13,69.96,0.2,0.76,0.46,Individual,Extract And Move Method
30,MLP-PCA,75.88,73.13,81.81,77.23,75.88,75.79,0.16,0.85,0.53,Individual,Extract And Move Method
31,MLP-PCA,76.95,74.57,81.81,78.02,76.95,76.9,0.16,0.84,0.53,Individual,Extract And Move Method
32,MLP-PCA,75.74,74.55,78.17,76.32,75.74,75.73,0.16,0.83,0.53,Individual,Extract And Move Method
33,MLP-PCA,78.37,76.35,82.21,79.17,78.37,78.34,0.15,0.85,0.53,Individual,Extract And Move Method
34,MLP-PCA,77.09,74.94,81.4,78.04,77.09,77.05,0.16,0.85,0.53,Individual,Extract And Move Method
35,MLP-PCA,76.89,75.54,79.51,77.48,76.89,76.87,0.17,0.83,0.53,Individual,Extract And Move Method
36,MLP-PCA,78.37,74.91,85.31,79.77,78.37,78.26,0.15,0.86,0.53,Individual,Extract And Move Method
37,MLP-PCA,74.46,73.48,76.55,74.98,74.46,74.45,0.19,0.8,0.53,Individual,Extract And Move Method
38,MLP-PCA,77.88,75.09,83.4,79.03,77.88,77.82,0.15,0.86,0.53,Individual,Extract And Move Method
39,MLP-PCA,73.63,72.41,76.42,74.36,73.63,73.61,0.17,0.81,0.53,Individual,Extract And Move Method
40,SGD-PCA,70.55,65.42,87.2,74.75,70.55,69.71,0.19,0.8,0.46,Individual,Extract And Move Method
41,SGD-PCA,71.56,66.81,85.71,75.09,71.56,70.98,0.19,0.78,0.46,Individual,Extract And Move Method
42,SGD-PCA,70.42,67.56,78.57,72.65,70.42,70.22,0.18,0.79,0.46,Individual,Extract And Move Method
43,SGD-PCA,73.85,72.01,78.03,74.9,73.85,73.81,0.18,0.8,0.46,Individual,Extract And Move Method
44,SGD-PCA,73.38,68.64,86.12,76.39,73.38,72.94,0.18,0.81,0.46,Individual,Extract And Move Method
45,SGD-PCA,73.52,71.57,78.03,74.66,73.52,73.46,0.19,0.8,0.46,Individual,Extract And Move Method
46,SGD-PCA,74.39,68.97,88.68,77.59,74.39,73.86,0.18,0.82,0.46,Individual,Extract And Move Method
47,SGD-PCA,71.23,67.64,81.4,73.88,71.23,70.93,0.19,0.78,0.46,Individual,Extract And Move Method
48,SGD-PCA,73.57,69.2,84.89,76.24,73.57,73.23,0.18,0.81,0.46,Individual,Extract And Move Method
49,SGD-PCA,69.45,66.71,77.76,71.81,69.45,69.24,0.2,0.76,0.46,Individual,Extract And Move Method
50,NB(B)-PCA,69.41,68.9,70.75,69.81,69.41,69.4,0.22,0.73,0.38,Individual,Extract And Move Method
51,NB(B)-PCA,67.12,67.35,66.44,66.89,67.12,67.11,0.23,0.72,0.38,Individual,Extract And Move Method
52,NB(B)-PCA,68.33,69.71,64.82,67.18,68.33,68.29,0.22,0.75,0.38,Individual,Extract And Move Method
53,NB(B)-PCA,69,68.5,70.35,69.41,69,69,0.21,0.75,0.38,Individual,Extract And Move Method
54,NB(B)-PCA,71.23,70.81,72.24,71.51,71.23,71.22,0.2,0.77,0.38,Individual,Extract And Move Method
55,NB(B)-PCA,68.73,68.94,68.19,68.56,68.73,68.73,0.22,0.75,0.38,Individual,Extract And Move Method
56,NB(B)-PCA,71.83,70.45,75.2,72.75,71.83,71.8,0.2,0.77,0.38,Individual,Extract And Move Method
57,NB(B)-PCA,67.99,69.15,64.96,66.99,67.99,67.96,0.23,0.73,0.38,Individual,Extract And Move Method
58,NB(B)-PCA,69.52,69.55,69.37,69.46,69.52,69.52,0.22,0.74,0.38,Individual,Extract And Move Method
59,NB(B)-PCA,64.8,65.71,61.99,63.8,64.8,64.77,0.24,0.7,0.38,Individual,Extract And Move Method
60,NB(G)-PCA,67.25,61.17,94.47,74.26,67.25,64.63,0.32,0.79,0.39,Individual,Extract And Move Method
61,NB(G)-PCA,66.91,60.96,94.07,73.98,66.91,64.28,0.32,0.78,0.39,Individual,Extract And Move Method
62,NB(G)-PCA,66.04,61.53,85.58,71.59,66.04,64.69,0.33,0.76,0.39,Individual,Extract And Move Method
63,NB(G)-PCA,66.78,60.99,93.13,73.71,66.78,64.3,0.32,0.79,0.39,Individual,Extract And Move Method
64,NB(G)-PCA,66.98,61.23,92.59,73.71,66.98,64.66,0.32,0.78,0.39,Individual,Extract And Move Method
65,NB(G)-PCA,65.97,60.46,92.32,73.07,65.97,63.43,0.33,0.78,0.39,Individual,Extract And Move Method
66,NB(G)-PCA,68.4,62.18,93.94,74.83,68.4,66.19,0.31,0.8,0.39,Individual,Extract And Move Method
67,NB(G)-PCA,66.85,60.96,93.67,73.86,66.85,64.28,0.32,0.77,0.39,Individual,Extract And Move Method
68,NB(G)-PCA,66.28,60.26,95.55,73.9,66.28,63.14,0.33,0.78,0.39,Individual,Extract And Move Method
69,NB(G)-PCA,62.98,58.61,88.54,70.53,62.98,60.39,0.36,0.75,0.39,Individual,Extract And Move Method
70,KNN-PCA,74.46,73.79,75.88,74.82,74.46,74.46,0.19,0.81,0.49,Individual,Extract And Move Method
71,KNN-PCA,73.38,73.93,72.24,73.07,73.38,73.38,0.18,0.81,0.49,Individual,Extract And Move Method
72,KNN-PCA,72.64,74,69.81,71.84,72.64,72.62,0.2,0.79,0.49,Individual,Extract And Move Method
73,KNN-PCA,74.8,74.08,76.28,75.17,74.8,74.79,0.19,0.8,0.49,Individual,Extract And Move Method
74,KNN-PCA,75.47,76.1,74.26,75.17,75.47,75.47,0.18,0.82,0.49,Individual,Extract And Move Method
75,KNN-PCA,74.73,74.3,75.61,74.95,74.73,74.73,0.19,0.81,0.49,Individual,Extract And Move Method
76,KNN-PCA,77.56,75.22,82.21,78.56,77.56,77.51,0.16,0.84,0.49,Individual,Extract And Move Method
77,KNN-PCA,73.85,74.18,73.18,73.68,73.85,73.85,0.2,0.78,0.49,Individual,Extract And Move Method
78,KNN-PCA,76.74,75.71,78.68,77.17,76.74,76.73,0.17,0.83,0.49,Individual,Extract And Move Method
79,KNN-PCA,72.83,73.57,71.29,72.42,72.83,72.82,0.2,0.78,0.49,Individual,Extract And Move Method
0,Stack-LR-PCA,77.22,74.69,82.35,78.33,77.22,77.16,0.16,0.85,0.55,Stacking,Extract And Move Method
1,Stack-LR-PCA,77.16,74.85,81.81,78.17,77.16,77.11,0.16,0.85,0.55,Stacking,Extract And Move Method
2,Stack-LR-PCA,76.89,76.49,77.63,77.06,76.89,76.89,0.17,0.84,0.55,Stacking,Extract And Move Method
3,Stack-LR-PCA,77.22,74.34,83.15,78.5,77.22,77.14,0.15,0.85,0.55,Stacking,Extract And Move Method
4,Stack-LR-PCA,78.84,77.23,81.81,79.45,78.84,78.82,0.15,0.87,0.55,Stacking,Extract And Move Method
5,Stack-LR-PCA,77.83,76.58,80.19,78.34,77.83,77.82,0.16,0.85,0.55,Stacking,Extract And Move Method
6,Stack-LR-PCA,79.58,75.79,86.93,80.98,79.58,79.47,0.14,0.88,0.55,Stacking,Extract And Move Method
7,Stack-LR-PCA,76.08,75.16,77.9,76.51,76.08,76.07,0.17,0.82,0.55,Stacking,Extract And Move Method
8,Stack-LR-PCA,79.23,75.8,85.83,80.51,79.23,79.14,0.15,0.87,0.55,Stacking,Extract And Move Method
