,Model,Accuracy,Precision,Recall,F1-score,F1-micro,F1-weight,Brier,AUC,MCC,Type,Dataset
0,DT-PCA,74.14,76.09,70.4,73.14,74.14,74.11,0.26,0.74,0.48,Individual,Extract Variable
1,DT-PCA,71.5,73,68.22,70.53,71.5,71.46,0.29,0.71,0.48,Individual,Extract Variable
2,DT-PCA,77.1,77.36,76.64,77,77.1,77.1,0.23,0.77,0.48,Individual,Extract Variable
3,DT-PCA,75.23,74.55,76.64,75.58,75.23,75.23,0.25,0.75,0.48,Individual,Extract Variable
4,DT-PCA,74.57,75.74,72.19,73.92,74.57,74.56,0.25,0.75,0.48,Individual,Extract Variable
5,DT-PCA,73.63,74.75,71.25,72.96,73.63,73.62,0.26,0.74,0.48,Individual,Extract Variable
6,DT-PCA,71.76,73.09,68.75,70.85,71.76,71.74,0.28,0.72,0.48,Individual,Extract Variable
7,DT-PCA,74.88,77.4,70.4,73.74,74.88,74.83,0.25,0.75,0.48,Individual,Extract Variable
8,DT-PCA,72.85,71.94,75.08,73.48,72.85,72.84,0.27,0.73,0.48,Individual,Extract Variable
9,DT-PCA,75.66,76.03,75.08,75.55,75.66,75.66,0.24,0.76,0.48,Individual,Extract Variable
10,LR-PCA,81.78,79.14,86.29,82.56,81.78,81.74,0.14,0.88,0.6,Individual,Extract Variable
11,LR-PCA,81,78.67,85.05,81.74,81,80.97,0.14,0.89,0.6,Individual,Extract Variable
12,LR-PCA,81.78,80.91,83.18,82.03,81.78,81.77,0.14,0.89,0.6,Individual,Extract Variable
13,LR-PCA,79.75,77.36,84.11,80.6,79.75,79.71,0.15,0.86,0.6,Individual,Extract Variable
14,LR-PCA,77.54,76.67,79.06,77.85,77.54,77.53,0.15,0.86,0.6,Individual,Extract Variable
15,LR-PCA,78.16,76.95,80.31,78.59,78.16,78.15,0.16,0.85,0.6,Individual,Extract Variable
16,LR-PCA,79.72,77.14,84.38,80.6,79.72,79.68,0.15,0.87,0.6,Individual,Extract Variable
17,LR-PCA,77.69,76.02,81,78.43,77.69,77.67,0.16,0.86,0.6,Individual,Extract Variable
18,LR-PCA,79.88,78.4,82.55,80.42,79.88,79.86,0.15,0.87,0.6,Individual,Extract Variable
19,LR-PCA,81.44,77.15,89.41,82.83,81.44,81.31,0.13,0.9,0.6,Individual,Extract Variable
20,SVM-PCA,80.53,78.32,84.42,81.26,80.53,80.5,0.14,0.88,0.59,Individual,Extract Variable
21,SVM-PCA,81.46,79.53,84.74,82.05,81.46,81.44,0.14,0.88,0.59,Individual,Extract Variable
22,SVM-PCA,81.46,80.79,82.55,81.66,81.46,81.46,0.14,0.89,0.59,Individual,Extract Variable
23,SVM-PCA,78.19,75.64,83.18,79.23,78.19,78.14,0.15,0.86,0.59,Individual,Extract Variable
24,SVM-PCA,77.85,77.99,77.5,77.74,77.85,77.85,0.15,0.86,0.59,Individual,Extract Variable
25,SVM-PCA,78.32,77.01,80.62,78.78,78.32,78.3,0.15,0.86,0.59,Individual,Extract Variable
26,SVM-PCA,79.56,77.23,83.75,80.36,79.56,79.53,0.15,0.87,0.59,Individual,Extract Variable
27,SVM-PCA,77.38,75.88,80.37,78.06,77.38,77.36,0.16,0.85,0.59,Individual,Extract Variable
28,SVM-PCA,79.88,78.92,81.62,80.25,79.88,79.87,0.14,0.87,0.59,Individual,Extract Variable
29,SVM-PCA,80.66,76.55,88.47,82.08,80.66,80.53,0.13,0.9,0.59,Individual,Extract Variable
30,MLP-PCA,83.8,82.98,85.05,84,83.8,83.8,0.11,0.92,0.64,Individual,Extract Variable
31,MLP-PCA,83.49,81.9,85.98,83.89,83.49,83.48,0.11,0.92,0.64,Individual,Extract Variable
32,MLP-PCA,84.42,84.21,84.74,84.47,84.42,84.42,0.11,0.93,0.64,Individual,Extract Variable
33,MLP-PCA,80.84,77.65,86.6,81.89,80.84,80.78,0.14,0.88,0.64,Individual,Extract Variable
34,MLP-PCA,81.44,81.9,80.62,81.26,81.44,81.43,0.14,0.88,0.64,Individual,Extract Variable
35,MLP-PCA,79.41,80.32,77.81,79.05,79.41,79.4,0.14,0.88,0.64,Individual,Extract Variable
36,MLP-PCA,80.34,78.53,83.44,80.91,80.34,80.33,0.14,0.89,0.64,Individual,Extract Variable
37,MLP-PCA,80.19,78.53,83.18,80.79,80.19,80.17,0.14,0.88,0.64,Individual,Extract Variable
38,MLP-PCA,81.9,80.42,84.42,82.37,81.9,81.89,0.13,0.9,0.64,Individual,Extract Variable
39,MLP-PCA,85.18,82.29,89.72,85.84,85.18,85.15,0.11,0.93,0.64,Individual,Extract Variable
