Unnamed: 0,Classifier,Accuracy,Precision,Recall,F1-score,F1-micro,F1-weight,Brier,AUC,MCC,Type,Dataset
0,DT,75.67,80.03,68.39,73.69,75.67,75.52,0.24,0.76,0.52,Individual,Extract And Move Method
1,LR,72.21,68.64,81.71,74.59,72.21,71.95,0.18,0.8,0.45,Individual,Extract And Move Method
2,SVM,72.61,69.2,81.47,74.82,72.61,72.39,0.18,0.8,0.46,Individual,Extract And Move Method
3,MLP,76.94,75.3,80.13,77.61,76.94,76.9,0.16,0.85,0.54,Individual,Extract And Move Method
4,SGD,72.33,69.87,78.85,73.87,72.33,72.12,0.19,0.8,0.45,Individual,Extract And Move Method
5,NB(B),68.44,71.03,62.18,66.28,68.44,68.3,0.23,0.75,0.37,Individual,Extract And Move Method
6,NB(G),64.92,59.55,93.02,72.61,64.92,61.91,0.35,0.71,0.36,Individual,Extract And Move Method
7,NB(M),69.29,64.51,85.66,73.59,69.29,68.44,0.23,0.73,0.41,Individual,Extract And Move Method
8,KNN,75.02,74.96,75.1,75.01,75.02,75.02,0.18,0.82,0.5,Individual,Extract And Move Method
0,Stack-LR,79.15,78.49,80.28,79.37,79.15,79.14,0.15,0.87,0.58,Stacking,Extract And Move Method
1,Stack-DT,70.7,71.52,68.73,70.08,70.7,70.68,0.29,0.71,0.41,Stacking,Extract And Move Method
0,TBStack-LR,85.33,84.25,86.89,85.54,85.33,85.32,0.11,0.92,0.71,TreeStacking,Extract And Move Method
1,TBStack-DT,79.62,80.89,77.56,79.17,79.62,79.61,0.2,0.8,0.59,TreeStacking,Extract And Move Method
0,DT,65.02,60.42,87.38,71.43,65.02,63.14,0.35,0.65,0.34,Individual,Extract Method
1,LR,78.18,76.14,82.74,79.22,78.18,78.08,0.16,0.85,0.57,Individual,Extract Method
2,SVM,77.57,75.98,81.3,78.46,77.57,77.49,0.16,0.84,0.55,Individual,Extract Method
3,MLP,72.49,67.15,88.53,76.33,72.49,71.72,0.21,0.75,0.47,Individual,Extract Method
4,SGD,77.08,74.77,82.55,78.36,77.08,76.94,0.17,0.84,0.55,Individual,Extract Method
