Unnamed: 0,Classifier,Accuracy,Precision,Recall,F1-score,F1-micro,F1-weight,Brier,AUC,MCC,Type,Dataset
0,DT,82.02,82.0,82.3,82.11,82.02,82.01,0.18,0.82,0.64,Individual,Extract Class
1,LR,78.38,74.14,87.63,80.28,78.38,78.16,0.15,0.86,0.58,Individual,Extract Class
2,SVM,80.83,77.12,88.04,82.18,80.83,80.71,0.13,0.88,0.62,Individual,Extract Class
3,MLP,85.96,82.43,91.7,86.77,85.96,85.9,0.1,0.93,0.72,Individual,Extract Class
4,SGD,77.53,72.95,87.91,79.63,77.53,77.23,0.15,0.85,0.57,Individual,Extract Class
5,NB(B),72.81,66.46,93.02,77.47,72.81,71.53,0.25,0.74,0.5,Individual,Extract Class
6,NB(G),59.04,55.61,91.88,69.24,59.04,53.81,0.4,0.8,0.23,Individual,Extract Class
7,NB(M),77.63,75.61,81.83,78.57,77.63,77.57,0.22,0.8,0.55,Individual,Extract Class
8,KNN,80.26,75.46,90.16,82.1,80.26,80.02,0.15,0.87,0.62,Individual,Extract Class
0,Stack-LR,86.32,83.44,90.79,86.94,86.32,86.28,0.1,0.93,0.73,Stacking,Extract Class
1,Stack-DT,80.52,80.98,80.0,80.45,80.52,80.51,0.19,0.81,0.61,Stacking,Extract Class
0,TBStack-LR,87.57,85.6,90.49,87.95,87.57,87.55,0.09,0.95,0.75,TreeStacking,Extract Class
1,TBStack-DT,82.35,83.11,81.45,82.22,82.35,82.34,0.18,0.82,0.65,TreeStacking,Extract Class
0,DT,87.86,87.04,89.04,88.02,87.86,87.86,0.12,0.88,0.76,Individual,Extract Interface
1,LR,83.32,79.08,90.84,84.52,83.32,83.21,0.12,0.91,0.67,Individual,Extract Interface
2,SVM,85.3,81.62,91.27,86.16,85.3,85.24,0.11,0.92,0.71,Individual,Extract Interface
3,MLP,89.83,87.7,92.79,90.15,89.83,89.82,0.07,0.96,0.8,Individual,Extract Interface
4,SGD,82.76,79.02,89.57,83.88,82.76,82.65,0.12,0.9,0.66,Individual,Extract Interface
5,NB(B),77.26,78.47,75.88,77.03,77.26,77.22,0.18,0.87,0.55,Individual,Extract Interface
6,NB(G),63.35,58.37,94.66,72.16,63.35,59.11,0.36,0.72,0.34,Individual,Extract Interface
7,NB(M),82.85,80.28,87.24,83.59,82.85,82.8,0.19,0.87,0.66,Individual,Extract Interface
8,KNN,84.18,80.08,91.25,85.27,84.18,84.09,0.11,0.91,0.69,Individual,Extract Interface
0,Stack-LR,90.37,89.38,91.68,90.5,90.37,90.36,0.07,0.97,0.81,Stacking,Extract Interface
1,Stack-DT,85.76,85.9,85.67,85.76,85.76,85.76,0.14,0.86,0.72,Stacking,Extract Interface
0,TBStack-LR,91.74,91.59,91.94,91.76,91.74,91.73,0.06,0.98,0.83,TreeStacking,Extract Interface
1,TBStack-DT,88.45,88.49,88.49,88.47,88.45,88.45,0.12,0.88,0.77,TreeStacking,Extract Interface
0,DT,87.47,87.71,87.16,87.42,87.47,87.47,0.13,0.87,0.75,Individual,Extract Subclass
1,LR,83.82,79.2,91.75,85.01,83.82,83.72,0.12,0.91,0.69,Individual,Extract Subclass
2,SVM,87.0,83.21,92.71,87.69,87.0,86.95,0.1,0.94,0.75,Individual,Extract Subclass
3,MLP,91.4,89.54,93.8,91.6,91.4,91.39,0.06,0.97,0.83,Individual,Extract Subclass
4,SGD,83.44,78.76,91.69,84.69,83.44,83.31,0.12,0.91,0.68,Individual,Extract Subclass
5,NB(B),74.38,67.04,95.95,78.91,74.38,73.12,0.22,0.86,0.54,Individual,Extract Subclass
6,NB(G),64.22,58.79,95.13,72.67,64.22,60.42,0.36,0.69,0.36,Individual,Extract Subclass
7,NB(M),83.35,80.29,88.41,84.14,83.35,83.31,0.2,0.87,0.67,Individual,Extract Subclass
8,KNN,85.61,81.54,92.07,86.48,85.61,85.55,0.11,0.92,0.72,Individual,Extract Subclass
0,Stack-LR,91.69,89.95,93.88,91.86,91.69,91.68,0.06,0.97,0.83,Stacking,Extract Subclass
1,Stack-DT,86.92,87.65,85.98,86.79,86.92,86.92,0.13,0.87,0.74,Stacking,Extract Subclass
0,TBStack-LR,92.05,91.19,93.09,92.13,92.05,92.05,0.06,0.98,0.84,TreeStacking,Extract Subclass
1,TBStack-DT,88.49,89.04,87.81,88.41,88.49,88.49,0.12,0.88,0.77,TreeStacking,Extract Subclass
0,DT,87.31,86.85,87.99,87.4,87.31,87.3,0.13,0.87,0.75,Individual,Extract Superclass
1,LR,84.75,80.26,92.36,85.86,84.75,84.65,0.11,0.92,0.7,Individual,Extract Superclass
2,SVM,86.99,83.05,93.09,87.76,86.99,86.93,0.1,0.93,0.75,Individual,Extract Superclass
