Unnamed: 0,Classifier_1,Classifier_2,Test,Stat,p-value,Null Hypo,Win,Lost,Dataset
0,DT,LR,t-test,15.90049597855024,0.040515708,Reject,DT,LR,Extract And Move Method
1,DT,SVM,t-test,15.90049597855024,0.1258807842321376,Accept,,,Extract And Move Method
2,DT,MLP,t-test,15.90049597855024,1,Accept,,,Extract And Move Method
3,DT,SGD,t-test,15.90049597855024,0.050184036,Accept,,,Extract And Move Method
4,DT,NB(B),t-test,15.90049597855024,0.001934802,Reject,DT,NB(B),Extract And Move Method
5,DT,NB(G),t-test,15.90049597855024,3.01950130826389e-06,Reject,DT,NB(G),Extract And Move Method
6,DT,NB(M),t-test,15.90049597855024,0.000331846,Reject,DT,NB(M),Extract And Move Method
7,DT,KNN,t-test,15.90049597855024,1,Accept,,,Extract And Move Method
9,DT,Stack-LR,t-test,15.90049597855024,0.030738667,Reject,Stack-LR,DT,Extract And Move Method
10,DT,Stack-DT,t-test,15.90049597855024,0.00023532,Reject,DT,Stack-DT,Extract And Move Method
11,DT,TBStack-LR,t-test,15.90049597855024,6.801051635121336e-07,Reject,TBStack-LR,DT,Extract And Move Method
12,DT,TBStack-DT,t-test,15.90049597855024,0.000438273,Reject,TBStack-DT,DT,Extract And Move Method
13,LR,SVM,t-test,15.90049597855024,1,Accept,,,Extract And Move Method
14,LR,MLP,t-test,15.90049597855024,0.000329664,Reject,MLP,LR,Extract And Move Method
15,LR,SGD,t-test,15.90049597855024,1,Accept,,,Extract And Move Method
16,LR,NB(B),t-test,15.90049597855024,0.005233001,Reject,LR,NB(B),Extract And Move Method
17,LR,NB(G),t-test,15.90049597855024,7.054207293568244e-05,Reject,LR,NB(G),Extract And Move Method
18,LR,NB(M),t-test,15.90049597855024,0.005940702,Reject,LR,NB(M),Extract And Move Method
19,LR,KNN,t-test,15.90049597855024,0.000478552,Reject,KNN,LR,Extract And Move Method
21,LR,Stack-LR,t-test,15.90049597855024,2.241259646623634e-06,Reject,Stack-LR,LR,Extract And Move Method
22,LR,Stack-DT,t-test,15.90049597855024,1,Accept,,,Extract And Move Method
23,LR,TBStack-LR,t-test,15.90049597855024,1.043861747259731e-08,Reject,TBStack-LR,LR,Extract And Move Method
24,LR,TBStack-DT,t-test,15.90049597855024,4.316673980036536e-05,Reject,TBStack-DT,LR,Extract And Move Method
25,SVM,MLP,t-test,15.90049597855024,0.000837522,Reject,MLP,SVM,Extract And Move Method
26,SVM,SGD,t-test,15.90049597855024,1,Accept,,,Extract And Move Method
27,SVM,NB(B),t-test,15.90049597855024,0.003581168,Reject,SVM,NB(B),Extract And Move Method
28,SVM,NB(G),t-test,15.90049597855024,1.731304960403097e-05,Reject,SVM,NB(G),Extract And Move Method
29,SVM,NB(M),t-test,15.90049597855024,0.023108024,Reject,SVM,NB(M),Extract And Move Method
30,SVM,KNN,t-test,15.90049597855024,0.023803206,Reject,KNN,SVM,Extract And Move Method
32,SVM,Stack-LR,t-test,15.90049597855024,1.993282361661283e-05,Reject,Stack-LR,SVM,Extract And Move Method
33,SVM,Stack-DT,t-test,15.90049597855024,1,Accept,,,Extract And Move Method
34,SVM,TBStack-LR,t-test,15.90049597855024,2.507514742314466e-09,Reject,TBStack-LR,SVM,Extract And Move Method
35,SVM,TBStack-DT,t-test,15.90049597855024,2.295108896714403e-05,Reject,TBStack-DT,SVM,Extract And Move Method
36,MLP,SGD,t-test,15.90049597855024,0.003060411,Reject,MLP,SGD,Extract And Move Method
37,MLP,NB(B),t-test,15.90049597855024,1.232428684487796e-05,Reject,MLP,NB(B),Extract And Move Method
38,MLP,NB(G),t-test,15.90049597855024,6.235480877119116e-06,Reject,MLP,NB(G),Extract And Move Method
39,MLP,NB(M),t-test,15.90049597855024,2.523658354916995e-05,Reject,MLP,NB(M),Extract And Move Method
40,MLP,KNN,t-test,15.90049597855024,0.150068467,Accept,,,Extract And Move Method
42,MLP,Stack-LR,t-test,15.90049597855024,0.1373427212629983,Accept,,,Extract And Move Method
43,MLP,Stack-DT,t-test,15.90049597855024,0.003306932,Reject,MLP,Stack-DT,Extract And Move Method
44,MLP,TBStack-LR,t-test,15.90049597855024,8.790754089185473e-07,Reject,TBStack-LR,MLP,Extract And Move Method
45,MLP,TBStack-DT,t-test,15.90049597855024,0.4222582817383392,Accept,,,Extract And Move Method
