,Classifier,Actual,Pred,Type,Dataset,classAnonymousClassesQty,classAssignmentsQty,classCbo,classComparisonsQty,classLambdasQty,classLcom,classLoc,classLoopQty,classMathOperationsQty,classMaxNestedBlocks,classNosi,classNumberOfAbstractMethods,classNumberOfDefaultMethods,classNumberOfFields,classNumberOfFinalFields,classNumberOfFinalMethods,classNumberOfMethods,classNumberOfPrivateFields,classNumberOfPrivateMethods,classNumberOfProtectedFields,classNumberOfProtectedMethods,classNumberOfPublicFields,classNumberOfPublicMethods,classNumberOfStaticFields,classNumberOfStaticMethods,classNumberOfSynchronizedMethods,classNumbersQty,classParenthesizedExpsQty,classReturnQty,classRfc,classStringLiteralsQty,classSubClassesQty,classTryCatchQty,classUniqueWordsQty,classVariablesQty,classWmc,authorOwnership,bugFixCount,linesAdded,linesDeleted,qtyMajorAuthors,qtyMinorAuthors,qtyOfAuthors,qtyOfCommits,refactoringsInvolved
0,TBStack-LR,0,0,TreeStacking,Extract Class,0.0068728522336769,0.0006457763153848,0.0058997050147492,0.0025862068965517,0.0,0.0,0.0014624931445633,0.0024570024570024,0.0002510040160642,0.1904761904761904,0.0,0.0,0.0,0.0004612687967034,0.0004612687967034,0.0,0.0012376237623762,0.0,0.0033783783783783,0.0,0.0,0.0004612687967034,0.0009363295880149,0.0004612687967034,0.0,0.0,0.0010455426058611,0.0,0.0043215211754537,0.0088852988691437,0.0324746291959406,0.0009487666034155,0.0041493775933609,0.0026277172985701,0.0006457763153848,0.0021310602024507,0.5,0.0024479804161566,0.0004556676464766,0.0003141295470251,0.2857142857142857,0.0,0.0377358490566037,0.0039436619718309,0.0034632034632034
1,TBStack-LR,0,0,TreeStacking,Extract Class,0.0687285223367697,0.0046126879670346,0.0550639134709931,0.0482758620689655,0.0,0.0012391564233822,0.0245170725762223,0.0147420147420147,0.0015060240963855,0.238095238095238,0.0105820105820105,0.0,0.0,0.0008917863402933,0.0001537562655678,0.0,0.0433168316831683,0.0511182108626198,0.0675675675675675,0.0655737704918032,0.0526315789473684,0.0001230050124542,0.0374531835205992,0.0001537562655678,0.0018181818181818,0.0,0.0013223038838832,0.0008567144998929,0.0406222990492653,0.178513731825525,0.0057767369242779,0.0009487666034155,0.0207468879668049,0.0082244138825376,0.0030136228051293,0.0791156100159829,0.5,0.0097919216646266,0.0064615166262666,0.0003015643651441,0.1428571428571428,0.0,0.0188679245283018,0.0039436619718309,0.006060606060606
2,TBStack-LR,0,0,TreeStacking,Extract Class,0.0,0.0035056428549463,0.0442477876106194,0.0120689655172413,0.0,0.0007831897740857,0.0107046373220125,0.0368550368550368,0.0042670682730923,0.3333333333333333,0.0004409171075837,0.0,0.0,0.0003690150373627,0.0003690150373627,0.0,0.0297029702970297,0.0383386581469648,0.0304054054054054,0.0,0.0994152046783625,0.0,0.0205992509363295,3.075125311356438e-05,0.0,0.0,0.0008917863402933,0.0006425358749196,0.0363007778738115,0.0928917609046849,0.0056206088992974,0.0009487666034155,0.0,0.0078148994983448,0.0031366278175835,0.0348961108151305,1.0,0.0,0.0028049705123273,0.000138217000691,0.0714285714285714,0.0,0.0094339622641509,0.0050704225352112,0.006060606060606
3,TBStack-LR,0,0,TreeStacking,Extract Class,0.0,0.0,0.0098328416912487,0.0,0.0,0.0005678509027373,0.0020718652881314,0.0,0.0002510040160642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0241336633663366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001199298871429,0.0,0.0,0.0,0.0064012490241998,0.0009487666034155,0.0,0.0072006279220557,0.0,0.0103889184869472,1.0,0.0012239902080783,9.71094984294406e-05,3.769554564302318e-05,0.0714285714285714,0.0,0.0094339622641509,0.0014084507042253,0.0008658008658008
4,TBStack-LR,0,1,TreeStacking,Extract Class,0.0,0.0009225375934069,0.0029498525073746,0.0,0.0,1.839193207246421e-05,0.0031484227417683,0.0122850122850122,0.0002510040160642,0.1904761904761904,0.0066137566137566,0.0,0.0,0.0002460100249085,0.0001230050124542,0.0,0.005569306930693,0.0127795527156549,0.0101351351351351,0.0,0.0,0.0001230050124542,0.0056179775280898,0.0002460100249085,0.0081818181818181,0.0,0.0,0.0,0.0086430423509075,0.0161550888529886,0.0023419203747072,0.0028462998102466,0.0082987551867219,0.0024912125038391,0.0006765275684984,0.0069259456579648,1.0,0.0,0.0008179607752325,0.0,0.0714285714285714,0.0,0.0094339622641509,0.0011267605633802,0.0025974025974025
5,TBStack-LR,0,0,TreeStacking,Extract Class,0.0,0.0003382637842492,0.007866273352999,0.0008620689655172,0.0,4.751249118719921e-05,0.0030468607178403,0.0,0.0002510040160642,0.1428571428571428,0.0074955908289241,0.0,0.0,9.225375934069316e-05,3.075125311356438e-05,0.0,0.0074257425742574,0.0095846645367412,0.0033783783783783,0.0,0.0,0.0,0.0102996254681647,9.225375934069316e-05,0.0109090909090909,0.0,0.0005842738091577,0.0002141786249732,0.0198789974070872,0.024232633279483,0.0079625292740046,0.0009487666034155,0.0082987551867219,0.0027300958946182,0.0002460100249085,0.0119872136387852,0.875,0.01468788249694,0.0006573566047531,0.000150782182572,0.1428571428571428,0.0,0.0188679245283018,0.0067605633802816,0.0017316017316017
6,TBStack-LR,0,0,TreeStacking,Extract Class,0.0,0.0008610350871798,0.0511307767944936,0.0,0.0,2.2989915090580263e-05,0.005260912839471,0.0049140049140049,0.0,0.1904761904761904,0.0066137566137566,0.0,0.0,0.0002152587717949,0.0001537562655678,0.0,0.005569306930693,0.0063897763578274,0.0067567567567567,0.0,0.0,0.0001537562655678,0.0065543071161048,0.0002152587717949,0.0081818181818181,0.0,0.0014453088963375,0.0,0.0086430423509075,0.0201938610662358,0.0321623731459797,0.0028462998102466,0.0041493775933609,0.0030372316827628,0.0006457763153848,0.0061267980820458,0.7962962962962963,0.0269277845777233,0.001916045103627,0.0015580825532449,0.2142857142857142,0.0095238095238095,0.0377358490566037,0.0152112676056338,0.0025974025974025
7,TBStack-LR,0,0,TreeStacking,Extract Class,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009487666034155,0.0,0.0001023785960481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,TBStack-LR,0,0,TreeStacking,Extract Class,0.0,0.0010762938589747,0.0924287118977384,0.0025862068965517,0.0,2.9886889617754346e-05,0.0074546525563161,0.0049140049140049,0.0002510040160642,0.2857142857142857,0.0268959435626102,0.0,0.0,0.000276761278022,0.0002152587717949,0.0,0.0061881188118811,0.0063897763578274,0.0101351351351351,0.0,0.0,0.0002152587717949,0.0065543071161048,0.000276761278022,0.009090909090909,0.0,0.0027983640333343,0.0002141786249732,0.0112359550561797,0.0282714054927302,0.057767369242779,0.0028462998102466,0.0041493775933609,0.0033102412722246,0.0007995325809526,0.0079914757591901,0.4230769230769231,0.0452876376988984,0.0028012355316184,0.0018596469183891,0.2142857142857142,0.0095238095238095,0.0377358490566037,0.0292957746478873,0.0025974025974025
9,TBStack-LR,0,0,TreeStacking,Extract Class,0.0,0.0015375626556782,0.0127826941986234,0.0,0.0,0.0,0.004753102719831,0.0024570024570024,0.0047690763052208,0.1904761904761904,0.0013227513227513,0.0,0.0,0.0006765275684984,0.0005842738091577,0.0,0.0167079207920792,0.0383386581469648,0.0,0.0,0.0,0.000276761278022,0.0252808988764044,0.0005842738091577,0.0,0.0,0.0009225375934069,0.0,0.0267934312878133,0.0185783521809369,0.0121779859484777,0.0018975332068311,0.0165975103734439,0.0033102412722246,0.0013530551369968,0.0111880660628662,0.4210526315789473,0.0061199510403916,0.0023866526729389,0.0002261732738581,0.2142857142857142,0.0,0.0283018867924528,0.0053521126760563,0.0103896103896103
