,Classifier,Actual,Pred,Type,Dataset,classAnonymousClassesQty,classAssignmentsQty,classCbo,classComparisonsQty,classLambdasQty,classLcom,classLoc,classLoopQty,classMathOperationsQty,classMaxNestedBlocks,classNosi,classNumberOfAbstractMethods,classNumberOfDefaultMethods,classNumberOfFields,classNumberOfFinalFields,classNumberOfFinalMethods,classNumberOfMethods,classNumberOfPrivateFields,classNumberOfPrivateMethods,classNumberOfProtectedFields,classNumberOfProtectedMethods,classNumberOfPublicFields,classNumberOfPublicMethods,classNumberOfStaticFields,classNumberOfStaticMethods,classNumberOfSynchronizedMethods,classNumbersQty,classParenthesizedExpsQty,classReturnQty,classRfc,classStringLiteralsQty,classSubClassesQty,classTryCatchQty,classUniqueWordsQty,classVariablesQty,classWmc,authorOwnership,bugFixCount,linesAdded,linesDeleted,qtyMajorAuthors,qtyMinorAuthors,qtyOfAuthors,qtyOfCommits,refactoringsInvolved
0,TBStack-LR,0,0,TreeStacking,Move And Rename Class,0.0549828178694158,0.0241557801331032,0.0501474926253687,0.0198275862068965,0.0,5.134414370229593e-05,0.0373341999959375,0.0073710073710073,0.002008032128514,0.2857142857142857,0.0044091710758377,0.0,0.0,0.0096881622767181,0.0063617085731596,0.0,0.0142326732673267,0.1608040201005025,0.0439560439560439,0.0,0.0,0.0,0.0140449438202247,0.004844081138359,0.0018181818181818,0.0,0.0043012640449438,0.001927607624759,0.0224719101123595,0.1195476575121163,0.004527712724434,0.0332068311195445,0.0091324200913242,0.166021505376344,0.0211928549803209,0.0324986680873734,0.375,0.055079559363525,0.0104392710811648,0.00660928566941,0.3846153846153846,0.0285714285714285,0.0754716981132075,0.0315492957746478,0.0051948051948051
1,TBStack-LR,0,0,TreeStacking,Move And Rename Class,0.0,0.004929751047572,0.0019665683382497,0.0,0.0,5.134414370229593e-05,0.0019093660498466,0.0,0.003012048192771,0.0952380952380952,0.0004409171075837,0.0,0.0,0.0030275507114744,0.0012117540139351,0.0,0.0092821782178217,0.050251256281407,0.0,0.0,0.0,0.0,0.0140449438202247,0.0,0.0,0.0,0.0,0.0,0.0112359550561797,0.0088852988691437,0.0040593286494925,0.0009487666034155,0.0045662100456621,0.0249462365591397,0.0051468362095065,0.0045285029302077,0.6230508474576271,0.0012239902080783,0.012288086532033,0.0395677577432933,0.1538461538461538,0.0571428571428571,0.0754716981132075,0.8309859154929577,0.0
2,TBStack-LR,0,0,TreeStacking,Move And Rename Class,0.0,0.0184865664283953,0.0068829891838741,0.0,0.0,0.0,0.0028640490747699,0.0,0.0002510040160642,0.0476190476190476,0.033068783068783,0.0,0.0,0.0217983651226158,0.021811572250833,0.0,0.0049504950495049,0.0050251256281407,0.0,0.0,0.0,0.0196790796245837,0.0028089887640449,0.0217983651226158,0.0036363636363636,0.0,0.0,0.0,0.0051858254105445,0.0088852988691437,0.0202966432474629,0.0009487666034155,0.0,0.0236559139784946,0.0227066303360581,0.0029302077783697,0.24,0.1248470012239902,0.0029730446442244,0.003317208016586,0.4615384615384615,0.3047619047619048,0.3584905660377358,0.0704225352112676,0.0
3,TBStack-LR,0,0,TreeStacking,Move And Rename Class,0.0,0.0007394626571358,0.0058997050147492,0.0,0.0,3.2952211629831713e-05,0.0008328085962097,0.0,0.0,0.0952380952380952,0.0004409171075837,0.0,0.0,0.0003027550711474,0.0,0.0,0.0061881188118811,0.0050251256281407,0.0219780219780219,0.0,0.0,0.0,0.0056179775280898,0.0,0.0,0.0,0.0,0.0,0.0008643042350907,0.0064620355411954,0.0001561280249804,0.0009487666034155,0.0,0.0124731182795698,0.0006055101422948,0.0037293553542887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,TBStack-LR,0,0,TreeStacking,Move And Rename Class,0.0,0.0204584668474242,0.015732546705998,0.0120689655172413,0.0,0.0006099990804033,0.0136702484207105,0.0024570024570024,0.0002510040160642,0.1428571428571428,0.005731922398589,0.0,0.0,0.0057523463518013,0.0039382005452893,0.0,0.0321782178217821,0.0653266331658291,0.0109890109890109,0.0,0.0,0.0018165304268846,0.045880149812734,0.0033303057826218,0.0027272727272727,0.0,0.0028967696629213,0.0017134289997858,0.0587726879861711,0.0500807754442649,0.0059328649492583,0.0047438330170777,0.0091324200913242,0.0503225806451612,0.0121102028458976,0.0396909962706446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,TBStack-LR,0,0,TreeStacking,Move And Rename Class,0.0,0.0014789253142716,0.0167158308751229,0.0,0.0,0.0,0.004956226767687,0.0,0.0,0.0952380952380952,0.0004409171075837,0.0,0.0,0.0015137753557372,0.0015146925174189,0.0,0.0018564356435643,0.0251256281407035,0.0054945054945054,0.0,0.0,0.0,0.0018726591760299,0.0,0.0,0.0,0.0,0.0,0.0008643042350907,0.005654281098546,0.0,0.00853889943074,0.0,0.053763440860215,0.0018165304268846,0.001598295151838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,TBStack-LR,0,0,TreeStacking,Move And Rename Class,0.0824742268041237,0.1091939857037219,0.1032448377581121,0.0870689655172413,0.0,0.0040784109370689,0.0525278787755682,0.0073710073710073,0.0243473895582329,0.2857142857142857,0.0216049382716049,0.0,0.0,0.0423857099606418,0.0139351711602544,0.0,0.0798267326732673,0.6130653266331658,0.4065934065934066,0.0,0.0467836257309941,0.0051468362095065,0.0440074906367041,0.0121102028458976,0.0081818181818181,0.0,0.0225596910112359,0.0070678946241165,0.1071737251512532,0.3045234248788369,0.0112412177985948,0.0028462998102466,0.0228310502283105,0.2240860215053763,0.0865879503481683,0.1707511987213638,0.3022151898734177,0.1664626682986535,0.0082468374050848,0.0104793616887604,0.4615384615384615,0.0666666666666666,0.1226415094339622,0.1780281690140845,0.0865800865800865
7,TBStack-LR,0,0,TreeStacking,Move And Rename Class,0.0,0.0014789253142716,0.0324483775811209,0.0,0.0,0.0001839193207246,0.0027015498364851,0.0,0.0,0.0476190476190476,0.005731922398589,0.0,0.0,0.0018165304268846,0.0018176310209027,0.0,0.0228960396039603,0.0,0.0,0.0,0.0,0.0015137753557372,0.0337078651685393,0.0018165304268846,0.0336363636363636,0.0,0.000438904494382,0.0,0.0285220397579948,0.024232633279483,0.0001561280249804,0.0009487666034155,0.0,0.0468817204301075,0.0018165304268846,0.0098561534363345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,TBStack-LR,0,0,TreeStacking,Move And Rename Class,0.0,0.0529948237614,0.0265486725663716,0.1206896551724137,0.0,0.0138943383502436,0.0462310332920314,0.0466830466830466,0.0489457831325301,0.238095238095238,0.0004409171075837,0.0,0.0,0.0006055101422948,0.0003029385034837,0.5013550135501355,0.1181930693069307,0.0100502512562814,0.1043956043956044,0.0,0.9824561403508772,0.0,0.0028089887640449,0.0,0.0027272727272727,0.0,0.0350245786516853,0.0059970014992503,0.0700086430423509,0.1857835218093699,0.0004683840749414,0.0009487666034155,0.0045662100456621,0.1625806451612903,0.0505600968816227,0.1212040490143846,0.6923076923076923,0.0159118727050183,0.0010868793862679,0.0013570396431488,0.1538461538461538,0.0380952380952381,0.0566037735849056,0.0146478873239436,0.0051948051948051
9,TBStack-LR,0,0,TreeStacking,Move And Rename Class,0.0,0.0256347054473749,0.039331366764995,0.0267241379310344,0.0,1.9158262575483554e-05,0.0123499421096463,0.0196560196560196,0.0025100401606425,0.2857142857142857,0.0008818342151675,0.0,0.0,0.0015137753557372,0.0003029385034837,0.0,0.0086633663366336,0.0201005025125628,0.0549450549450549,0.0,0.0,0.0,0.0037453183520599,0.0003027550711474,0.0018181818181818,0.0,0.0005266853932584,0.0006425358749196,0.0155574762316335,0.1082390953150242,0.0028103044496487,0.0009487666034155,0.045662100456621,0.075268817204301,0.0245231607629427,0.0388918486947256,0.5813953488372093,0.011015911872705,0.0023679777693948,0.0011811270968147,0.2307692307692307,0.0095238095238095,0.0377358490566037,0.012112676056338,0.0086580086580086
10,TBStack-LR,0,0,TreeStacking,Move And Rename Class,0.0687285223367697,0.0098595020951441,0.0383480825958702,0.0043103448275862,0.0,0.0002490574134812,0.0120858808474335,0.0049140049140049,0.0005020080321285,0.1904761904761904,0.0008818342151675,0.0,0.0,0.0069633666363911,0.0006058770069675,0.0,0.0167079207920792,0.0452261306532663,0.0384615384615384,0.1444444444444444,0.0058479532163742,0.0003027550711474,0.0177902621722846,0.0003027550711474,0.0009090909090909,0.0,0.0007900280898876,0.0008567144998929,0.0155574762316335,0.0848142164781906,0.0007806401249024,0.0047438330170777,0.0,0.0946236559139784,0.0133212231304874,0.0151838039424613,0.391304347826087,0.0269277845777233,0.0005266322799442,0.0028146007413457,0.3076923076923077,0.0476190476190476,0.0849056603773584,0.0194366197183098,0.0025974025974025
11,TBStack-LR,0,0,TreeStacking,Move And Rename Class,0.0,0.0071481390189795,0.0127826941986234,0.0017241379310344,0.0,1.1494957545290131e-05,0.0023765513599155,0.0049140049140049,0.001004016064257,0.238095238095238,0.0008818342151675,0.0,0.0,0.0003027550711474,0.0,0.0,0.0037128712871287,0.0050251256281407,0.0054945054945054,0.0,0.0,0.0,0.0046816479400749,0.0,0.0,0.0,8.778089887640449e-05,0.0,0.003457216940363,0.029886914378029,0.0010928961748633,0.0009487666034155,0.0,0.0223655913978494,0.0087798970632758,0.0050612679808204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
