,Model,FS,Accuracy,Precision,Recall,F1-score,F1-micro,F1-weight,Brier,AUC,MCC,Type,Dataset
0,Stack-LR,PCA,77.22,74.69,82.35,78.33,77.22,77.16,0.16,0.85,0.55,Stacking,Extract And Move Method
1,Stack-LR,PCA,77.16,74.85,81.81,78.17,77.16,77.11,0.16,0.85,0.55,Stacking,Extract And Move Method
2,Stack-LR,PCA,76.89,76.49,77.63,77.06,76.89,76.89,0.17,0.84,0.55,Stacking,Extract And Move Method
3,Stack-LR,PCA,77.22,74.34,83.15,78.5,77.22,77.14,0.15,0.85,0.55,Stacking,Extract And Move Method
4,Stack-LR,PCA,78.84,77.23,81.81,79.45,78.84,78.82,0.15,0.87,0.55,Stacking,Extract And Move Method
5,Stack-LR,PCA,77.83,76.58,80.19,78.34,77.83,77.82,0.16,0.85,0.55,Stacking,Extract And Move Method
6,Stack-LR,PCA,79.58,75.79,86.93,80.98,79.58,79.47,0.14,0.88,0.55,Stacking,Extract And Move Method
7,Stack-LR,PCA,76.08,75.16,77.9,76.51,76.08,76.07,0.17,0.82,0.55,Stacking,Extract And Move Method
8,Stack-LR,PCA,79.23,75.8,85.83,80.51,79.23,79.14,0.15,0.87,0.55,Stacking,Extract And Move Method
9,Stack-LR,PCA,74.51,74.01,75.61,74.8,74.51,74.51,0.18,0.82,0.55,Stacking,Extract And Move Method
10,Stack-DT,PCA,69.95,71.57,66.17,68.77,69.95,69.9,0.3,0.7,0.37,Stacking,Extract And Move Method
11,Stack-DT,PCA,69.47,71.22,65.36,68.17,69.47,69.42,0.31,0.69,0.37,Stacking,Extract And Move Method
12,Stack-DT,PCA,67.45,69.47,62.26,65.67,67.45,67.36,0.33,0.67,0.37,Stacking,Extract And Move Method
13,Stack-DT,PCA,68.87,68.72,69.27,68.99,68.87,68.87,0.31,0.69,0.37,Stacking,Extract And Move Method
14,Stack-DT,PCA,67.65,69.67,62.53,65.91,67.65,67.57,0.32,0.68,0.37,Stacking,Extract And Move Method
15,Stack-DT,PCA,68.4,69.09,66.58,67.81,68.4,68.39,0.32,0.68,0.37,Stacking,Extract And Move Method
16,Stack-DT,PCA,70.15,70.62,69,69.8,70.15,70.14,0.3,0.7,0.37,Stacking,Extract And Move Method
17,Stack-DT,PCA,66.44,67.58,63.21,65.32,66.44,66.41,0.34,0.66,0.37,Stacking,Extract And Move Method
18,Stack-DT,PCA,69.72,69.16,71.12,70.13,69.72,69.72,0.3,0.7,0.37,Stacking,Extract And Move Method
19,Stack-DT,PCA,64.46,67.09,56.87,61.56,64.46,64.26,0.36,0.64,0.37,Stacking,Extract And Move Method
0,TBStack-LR,PCA,78.64,77.78,80.19,78.96,78.64,78.63,0.15,0.87,0.59,TreeStacking,Extract And Move Method
1,TBStack-LR,PCA,76.89,77.29,76.15,76.71,76.89,76.89,0.15,0.87,0.59,TreeStacking,Extract And Move Method
2,TBStack-LR,PCA,79.11,79.51,78.44,78.97,79.11,79.11,0.14,0.88,0.59,TreeStacking,Extract And Move Method
3,TBStack-LR,PCA,77.83,76.44,80.46,78.4,77.83,77.81,0.15,0.86,0.59,TreeStacking,Extract And Move Method
4,TBStack-LR,PCA,82.41,81.19,84.37,82.75,82.41,82.41,0.13,0.88,0.59,TreeStacking,Extract And Move Method
5,TBStack-LR,PCA,78.84,77.94,80.46,79.18,78.84,78.84,0.15,0.87,0.59,TreeStacking,Extract And Move Method
6,TBStack-LR,PCA,82.82,80.17,87.2,83.54,82.82,82.78,0.13,0.9,0.59,TreeStacking,Extract And Move Method
7,TBStack-LR,PCA,76.95,77.55,75.88,76.7,76.95,76.95,0.16,0.86,0.59,TreeStacking,Extract And Move Method
8,TBStack-LR,PCA,81.66,79.5,85.29,82.29,81.66,81.63,0.13,0.89,0.59,TreeStacking,Extract And Move Method
9,TBStack-LR,PCA,77.21,77.67,76.42,77.04,77.21,77.21,0.16,0.85,0.59,TreeStacking,Extract And Move Method
10,TBStack-DT,PCA,70.49,72.29,66.44,69.24,70.49,70.44,0.3,0.7,0.43,TreeStacking,Extract And Move Method
11,TBStack-DT,PCA,71.9,73.79,67.92,70.74,71.9,71.86,0.28,0.72,0.43,TreeStacking,Extract And Move Method
12,TBStack-DT,PCA,73.18,74.93,69.68,72.21,73.18,73.15,0.27,0.73,0.43,TreeStacking,Extract And Move Method
13,TBStack-DT,PCA,69.88,70.86,67.52,69.15,69.88,69.86,0.3,0.7,0.43,TreeStacking,Extract And Move Method
14,TBStack-DT,PCA,73.58,75,70.75,72.82,73.58,73.56,0.26,0.74,0.43,TreeStacking,Extract And Move Method
15,TBStack-DT,PCA,69.68,69.89,69.14,69.51,69.68,69.68,0.3,0.7,0.43,TreeStacking,Extract And Move Method
16,TBStack-DT,PCA,73.11,73.85,71.56,72.69,73.11,73.11,0.27,0.73,0.43,TreeStacking,Extract And Move Method
17,TBStack-DT,PCA,70.28,72.04,66.31,69.05,70.28,70.24,0.3,0.7,0.43,TreeStacking,Extract And Move Method
18,TBStack-DT,PCA,70.53,70.88,69.64,70.25,70.53,70.53,0.29,0.71,0.43,TreeStacking,Extract And Move Method
19,TBStack-DT,PCA,71.54,71.68,71.29,71.49,71.54,71.54,0.28,0.72,0.43,TreeStacking,Extract And Move Method
0,Stack-LR,PCA,81.47,81.14,82,81.57,81.47,81.47,0.13,0.89,0.6,Stacking,Extract Method
1,Stack-LR,PCA,81.39,82.51,79.65,81.06,81.39,81.38,0.13,0.89,0.6,Stacking,Extract Method
2,Stack-LR,PCA,81.99,81.51,82.76,82.13,81.99,81.99,0.13,0.89,0.6,Stacking,Extract Method
