,Model,FS,Accuracy,Precision,Recall,F1-score,F1-micro,F1-weight,Brier,AUC,MCC,Type,Dataset
0,Stack-LR,PCA,84.42,82.99,86.6,84.76,84.42,84.42,0.11,0.92,0.65,Stacking,Extract Variable
1,Stack-LR,PCA,83.02,83.12,82.87,83,83.02,83.02,0.12,0.92,0.65,Stacking,Extract Variable
2,Stack-LR,PCA,85.05,85.94,83.8,84.86,85.05,85.04,0.11,0.92,0.65,Stacking,Extract Variable
3,Stack-LR,PCA,81.62,78.92,86.29,82.44,81.62,81.58,0.14,0.89,0.65,Stacking,Extract Variable
4,Stack-LR,PCA,80.97,82.14,79.06,80.57,80.97,80.96,0.14,0.89,0.65,Stacking,Extract Variable
5,Stack-LR,PCA,79.56,80,78.75,79.37,79.56,79.56,0.15,0.88,0.65,Stacking,Extract Variable
6,Stack-LR,PCA,80.34,79.75,81.25,80.5,80.34,80.34,0.14,0.89,0.65,Stacking,Extract Variable
7,Stack-LR,PCA,80.34,80.56,80.06,80.31,80.34,80.34,0.14,0.89,0.65,Stacking,Extract Variable
8,Stack-LR,PCA,82.53,82.97,81.93,82.45,82.53,82.53,0.13,0.9,0.65,Stacking,Extract Variable
9,Stack-LR,PCA,85.49,82.76,89.72,86.1,85.49,85.46,0.11,0.93,0.65,Stacking,Extract Variable
10,Stack-DT,PCA,76.95,76.29,78.19,77.23,76.95,76.94,0.23,0.77,0.5,Stacking,Extract Variable
11,Stack-DT,PCA,73.36,73.58,72.9,73.24,73.36,73.36,0.27,0.73,0.5,Stacking,Extract Variable
12,Stack-DT,PCA,77.26,78.88,74.45,76.6,77.26,77.24,0.23,0.77,0.5,Stacking,Extract Variable
13,Stack-DT,PCA,74.45,75.24,72.9,74.05,74.45,74.45,0.26,0.74,0.5,Stacking,Extract Variable
14,Stack-DT,PCA,74.57,74.3,75,74.65,74.57,74.57,0.25,0.75,0.5,Stacking,Extract Variable
15,Stack-DT,PCA,74.73,74.38,75.31,74.84,74.73,74.73,0.25,0.75,0.5,Stacking,Extract Variable
16,Stack-DT,PCA,72.7,72.31,73.44,72.87,72.7,72.7,0.27,0.73,0.5,Stacking,Extract Variable
17,Stack-DT,PCA,73.32,76.04,68.22,71.92,73.32,73.25,0.27,0.73,0.5,Stacking,Extract Variable
18,Stack-DT,PCA,75.2,75.63,74.45,75.04,75.2,75.19,0.25,0.75,0.5,Stacking,Extract Variable
19,Stack-DT,PCA,78.78,77.95,80.37,79.14,78.78,78.78,0.21,0.79,0.5,Stacking,Extract Variable
0,TBStack-LR,PCA,83.18,82.57,84.11,83.33,83.18,83.18,0.12,0.92,0.65,TreeStacking,Extract Variable
1,TBStack-LR,PCA,82.87,82.46,83.49,82.97,82.87,82.87,0.12,0.92,0.65,TreeStacking,Extract Variable
2,TBStack-LR,PCA,85.36,86.26,84.11,85.17,85.36,85.36,0.11,0.93,0.65,TreeStacking,Extract Variable
3,TBStack-LR,PCA,82.09,80.29,85.05,82.6,82.09,82.07,0.13,0.89,0.65,TreeStacking,Extract Variable
4,TBStack-LR,PCA,81.75,82.43,80.62,81.52,81.75,81.74,0.13,0.9,0.65,TreeStacking,Extract Variable
5,TBStack-LR,PCA,80.34,81.91,77.81,79.81,80.34,80.33,0.14,0.89,0.65,TreeStacking,Extract Variable
6,TBStack-LR,PCA,81.12,81,81.25,81.12,81.12,81.12,0.13,0.89,0.65,TreeStacking,Extract Variable
7,TBStack-LR,PCA,80.5,81.61,78.82,80.19,80.5,80.49,0.13,0.89,0.65,TreeStacking,Extract Variable
8,TBStack-LR,PCA,83,81.74,85.05,83.36,83,82.99,0.12,0.9,0.65,TreeStacking,Extract Variable
9,TBStack-LR,PCA,85.18,83.43,87.85,85.58,85.18,85.17,0.1,0.93,0.65,TreeStacking,Extract Variable
10,TBStack-DT,PCA,72.9,74.1,70.4,72.2,72.9,72.88,0.27,0.73,0.49,TreeStacking,Extract Variable
11,TBStack-DT,PCA,72.74,72.26,73.83,73.04,72.74,72.74,0.27,0.73,0.49,TreeStacking,Extract Variable
12,TBStack-DT,PCA,75.86,75.62,76.32,75.97,75.86,75.86,0.24,0.76,0.49,TreeStacking,Extract Variable
13,TBStack-DT,PCA,74.14,74.76,72.9,73.82,74.14,74.14,0.26,0.74,0.49,TreeStacking,Extract Variable
14,TBStack-DT,PCA,76.44,78.07,73.44,75.68,76.44,76.42,0.24,0.76,0.49,TreeStacking,Extract Variable
15,TBStack-DT,PCA,75.98,77.12,73.75,75.4,75.98,75.96,0.24,0.76,0.49,TreeStacking,Extract Variable
16,TBStack-DT,PCA,73.79,73.03,75.31,74.15,73.79,73.79,0.26,0.74,0.49,TreeStacking,Extract Variable
17,TBStack-DT,PCA,71.29,73.06,67.6,70.23,71.29,71.26,0.29,0.71,0.49,TreeStacking,Extract Variable
18,TBStack-DT,PCA,73.48,73.82,72.9,73.35,73.48,73.48,0.27,0.73,0.49,TreeStacking,Extract Variable
19,TBStack-DT,PCA,76.76,76.54,77.26,76.9,76.76,76.75,0.23,0.77,0.49,TreeStacking,Extract Variable
0,Stack-LR,PCA,81.59,82.12,80.74,81.43,81.59,81.58,0.13,0.9,0.65,Stacking,Inline Variable
1,Stack-LR,PCA,82.16,80.71,84.51,82.56,82.16,82.15,0.12,0.91,0.65,Stacking,Inline Variable
2,Stack-LR,PCA,81.59,80.53,83.33,81.9,81.59,81.58,0.13,0.9,0.65,Stacking,Inline Variable
3,Stack-LR,PCA,83.96,84.23,83.57,83.9,83.96,83.96,0.11,0.92,0.65,Stacking,Inline Variable
4,Stack-LR,PCA,82.97,82.82,83.2,83.01,82.97,82.97,0.12,0.91,0.65,Stacking,Inline Variable
5,Stack-LR,PCA,82.15,82.68,81.36,82.01,82.15,82.15,0.13,0.9,0.65,Stacking,Inline Variable
6,Stack-LR,PCA,82.89,81.76,84.67,83.19,82.89,82.89,0.12,0.9,0.65,Stacking,Inline Variable
7,Stack-LR,PCA,82.5,82.13,83.07,82.6,82.5,82.5,0.12,0.9,0.65,Stacking,Inline Variable
8,Stack-LR,PCA,82.38,80.53,85.4,82.9,82.38,82.36,0.12,0.91,0.65,Stacking,Inline Variable
9,Stack-LR,PCA,83.67,81.78,86.63,84.14,83.67,83.65,0.12,0.92,0.65,Stacking,Inline Variable
10,Stack-DT,PCA,75.29,75.76,74.37,75.06,75.29,75.29,0.25,0.75,0.51,Stacking,Inline Variable
11,Stack-DT,PCA,76.33,76.95,75.18,76.05,76.33,76.33,0.24,0.76,0.51,Stacking,Inline Variable
12,Stack-DT,PCA,74.84,75.06,74.42,74.74,74.84,74.84,0.25,0.75,0.51,Stacking,Inline Variable
13,Stack-DT,PCA,72.57,75.69,66.53,70.81,72.57,72.47,0.27,0.73,0.51,Stacking,Inline Variable
14,Stack-DT,PCA,75.53,77.21,72.44,74.75,75.53,75.51,0.24,0.76,0.51,Stacking,Inline Variable
15,Stack-DT,PCA,74.69,75.23,73.63,74.42,74.69,74.69,0.25,0.75,0.51,Stacking,Inline Variable
16,Stack-DT,PCA,75.16,76.07,73.43,74.72,75.16,75.16,0.25,0.75,0.51,Stacking,Inline Variable
17,Stack-DT,PCA,77.09,78.16,75.18,76.64,77.09,77.08,0.23,0.77,0.51,Stacking,Inline Variable
18,Stack-DT,PCA,75.33,75.09,75.8,75.44,75.33,75.33,0.25,0.75,0.51,Stacking,Inline Variable
19,Stack-DT,PCA,76.27,75.13,78.54,76.79,76.27,76.26,0.24,0.76,0.51,Stacking,Inline Variable
0,TBStack-LR,PCA,85.33,84.42,86.63,85.51,85.33,85.32,0.11,0.93,0.72,TreeStacking,Inline Variable
1,TBStack-LR,PCA,86.02,84.71,87.9,86.28,86.02,86.02,0.1,0.93,0.72,TreeStacking,Inline Variable
2,TBStack-LR,PCA,84.55,83.83,85.62,84.71,84.55,84.55,0.11,0.92,0.72,TreeStacking,Inline Variable
3,TBStack-LR,PCA,87.72,86.08,89.99,87.99,87.72,87.71,0.09,0.94,0.72,TreeStacking,Inline Variable
4,TBStack-LR,PCA,85.77,85.11,86.71,85.91,85.77,85.77,0.1,0.92,0.72,TreeStacking,Inline Variable
5,TBStack-LR,PCA,84.69,84.09,85.57,84.82,84.69,84.69,0.11,0.92,0.72,TreeStacking,Inline Variable
6,TBStack-LR,PCA,86.3,84.74,88.55,86.61,86.3,86.3,0.1,0.93,0.72,TreeStacking,Inline Variable
7,TBStack-LR,PCA,86.06,84.51,88.31,86.37,86.06,86.05,0.1,0.93,0.72,TreeStacking,Inline Variable
8,TBStack-LR,PCA,86.65,84.55,89.7,87.05,86.65,86.64,0.1,0.93,0.72,TreeStacking,Inline Variable
9,TBStack-LR,PCA,86.43,84.38,89.41,86.82,86.43,86.41,0.1,0.93,0.72,TreeStacking,Inline Variable
10,TBStack-DT,PCA,78.13,79.1,76.45,77.75,78.13,78.13,0.22,0.78,0.58,TreeStacking,Inline Variable
11,TBStack-DT,PCA,79.32,79.83,78.45,79.13,79.32,79.32,0.21,0.79,0.58,TreeStacking,Inline Variable
12,TBStack-DT,PCA,78.4,79.45,76.62,78.01,78.4,78.39,0.22,0.78,0.58,TreeStacking,Inline Variable
13,TBStack-DT,PCA,80.54,80.5,80.63,80.56,80.54,80.54,0.19,0.81,0.58,TreeStacking,Inline Variable
14,TBStack-DT,PCA,77.86,79.72,74.73,77.15,77.86,77.84,0.22,0.78,0.58,TreeStacking,Inline Variable
15,TBStack-DT,PCA,78.11,79.17,76.29,77.7,78.11,78.1,0.22,0.78,0.58,TreeStacking,Inline Variable
