Unnamed: 0,Classifier,Accuracy,Precision,Recall,F1-score,F1-micro,F1-weight,Brier,AUC,MCC,Type,Dataset
0,DT,75.51,76.81,73.18,74.91,75.51,75.48,0.24,0.76,0.51,Individual,Extract Variable
1,LR,80.14,77.93,84.13,80.89,80.14,80.1,0.15,0.87,0.61,Individual,Extract Variable
2,SVM,80.45,78.54,83.81,81.07,80.45,80.42,0.14,0.87,0.61,Individual,Extract Variable
3,MLP,82.55,81.08,84.94,82.95,82.55,82.54,0.13,0.9,0.65,Individual,Extract Variable
4,SGD,80.22,78.42,83.78,80.9,80.22,80.16,0.15,0.87,0.61,Individual,Extract Variable
5,NB(B),72.45,68.89,81.88,74.81,72.45,72.2,0.2,0.81,0.46,Individual,Extract Variable
6,NB(G),66.54,60.69,94.2,73.8,66.54,63.71,0.33,0.77,0.4,Individual,Extract Variable
7,NB(M),76.8,72.41,86.68,78.88,76.8,76.56,0.2,0.84,0.55,Individual,Extract Variable
8,KNN,79.82,78.84,81.57,80.15,79.82,79.81,0.15,0.86,0.6,Individual,Extract Variable
0,Stack-LR,82.82,81.91,84.31,83.05,82.82,82.81,0.12,0.9,0.66,Stacking,Extract Variable
1,Stack-DT,75.46,75.48,75.39,75.42,75.46,75.45,0.25,0.75,0.51,Stacking,Extract Variable
0,TBStack-LR,84.07,83.1,85.53,84.27,84.07,84.06,0.11,0.92,0.68,TreeStacking,Extract Variable
1,TBStack-DT,77.14,77.41,76.67,77.02,77.14,77.14,0.23,0.77,0.54,TreeStacking,Extract Variable
0,DT,81.61,84.38,77.59,80.84,81.61,81.58,0.18,0.82,0.63,Individual,Inline Variable
1,LR,77.91,74.47,84.94,79.35,77.91,77.8,0.16,0.86,0.56,Individual,Inline Variable
2,SVM,78.52,75.46,84.53,79.73,78.52,78.43,0.15,0.86,0.57,Individual,Inline Variable
3,MLP,84.83,83.85,86.28,85.04,84.83,84.82,0.11,0.92,0.7,Individual,Inline Variable
4,SGD,76.87,73.23,84.79,78.57,76.87,76.71,0.16,0.85,0.54,Individual,Inline Variable
5,NB(B),73.78,75.62,70.19,72.79,73.78,73.74,0.19,0.82,0.48,Individual,Inline Variable
6,NB(G),65.85,60.1,94.39,73.43,65.85,62.82,0.34,0.72,0.39,Individual,Inline Variable
7,NB(M),73.58,68.9,85.96,76.48,73.58,73.17,0.21,0.78,0.49,Individual,Inline Variable
8,KNN,81.32,81.56,80.94,81.24,81.32,81.32,0.14,0.88,0.63,Individual,Inline Variable
0,Stack-LR,86.51,85.9,87.4,86.62,86.51,86.51,0.1,0.94,0.73,Stacking,Inline Variable
1,Stack-DT,80.81,81.3,80.05,80.66,80.81,80.81,0.19,0.81,0.62,Stacking,Inline Variable
0,TBStack-LR,93.46,92.42,94.67,93.53,93.46,93.45,0.05,0.97,0.87,TreeStacking,Inline Variable
1,TBStack-DT,89.66,90.31,88.86,89.58,89.66,89.66,0.1,0.9,0.79,TreeStacking,Inline Variable
0,DT,81.98,86.06,76.32,80.88,81.98,81.91,0.18,0.82,0.64,Individual,Parameterize Variable
1,LR,76.24,72.81,83.73,77.87,76.24,76.1,0.17,0.84,0.53,Individual,Parameterize Variable
2,SVM,76.92,73.78,83.51,78.32,76.92,76.82,0.16,0.84,0.54,Individual,Parameterize Variable
3,MLP,82.63,81.39,84.65,82.95,82.63,82.62,0.12,0.9,0.65,Individual,Parameterize Variable
4,SGD,75.41,71.84,83.67,77.27,75.41,75.22,0.17,0.83,0.52,Individual,Parameterize Variable
5,NB(B),71.61,70.98,73.12,72.03,71.61,71.6,0.2,0.8,0.43,Individual,Parameterize Variable
6,NB(G),63.81,58.6,94.11,72.22,63.81,60.14,0.36,0.69,0.35,Individual,Parameterize Variable
7,NB(M),72.79,68.35,84.91,75.72,72.79,72.38,0.22,0.78,0.47,Individual,Parameterize Variable
8,KNN,79.66,80.06,78.99,79.51,79.66,79.65,0.15,0.87,0.59,Individual,Parameterize Variable
0,Stack-LR,85.48,85.38,85.68,85.49,85.48,85.47,0.11,0.93,0.71,Stacking,Parameterize Variable
1,Stack-DT,79.15,79.65,78.3,78.95,79.15,79.14,0.21,0.79,0.58,Stacking,Parameterize Variable
0,TBStack-LR,91.66,90.68,92.88,91.76,91.66,91.66,0.06,0.96,0.83,TreeStacking,Parameterize Variable
1,TBStack-DT,87.41,88.17,86.41,87.28,87.41,87.4,0.13,0.87,0.75,TreeStacking,Parameterize Variable
0,DT,94.6,98.27,90.79,94.38,94.6,94.59,0.05,0.95,0.89,Individual,Rename Parameter
1,LR,81.82,78.83,87,82.71,81.82,81.77,0.13,0.9,0.64,Individual,Rename Parameter
2,SVM,81.87,79.05,86.73,82.71,81.87,81.83,0.13,0.9,0.64,Individual,Rename Parameter
3,MLP,87.26,86.66,88.16,87.36,87.26,87.25,0.09,0.94,0.75,Individual,Rename Parameter
4,SGD,80.96,77.69,86.88,82.02,80.96,80.9,0.14,0.89,0.62,Individual,Rename Parameter
5,NB(B),75.82,80.73,67.82,73.71,75.82,75.66,0.21,0.84,0.52,Individual,Rename Parameter
6,NB(G),70.59,63.89,94.71,76.3,70.59,68.77,0.29,0.76,0.47,Individual,Rename Parameter
7,NB(M),76.18,70.63,89.64,79,76.18,75.75,0.22,0.81,0.54,Individual,Rename Parameter
8,KNN,89.36,93.21,84.91,88.87,89.36,89.34,0.08,0.95,0.79,Individual,Rename Parameter
0,Stack-LR,96.18,96.87,95.44,96.15,96.18,96.18,0.03,0.99,0.92,Stacking,Rename Parameter
1,Stack-DT,93.68,93.76,93.58,93.67,93.68,93.68,0.06,0.94,0.87,Stacking,Rename Parameter
0,TBStack-LR,99.05,98.95,99.14,99.05,99.05,99.05,0.01,1,0.98,TreeStacking,Rename Parameter
1,TBStack-DT,98.54,98.66,98.41,98.53,98.54,98.54,0.01,0.99,0.97,TreeStacking,Rename Parameter
0,DT,93.72,97.93,89.33,93.43,93.72,93.71,0.06,0.94,0.88,Individual,Rename Variable
1,LR,77.88,74.82,84.03,79.15,77.88,77.79,0.16,0.86,0.56,Individual,Rename Variable
2,SVM,78.15,75.16,84.08,79.37,78.15,78.07,0.15,0.86,0.57,Individual,Rename Variable
3,MLP,86.39,85.33,87.95,86.59,86.39,86.38,0.1,0.93,0.73,Individual,Rename Variable
4,SGD,75.32,71.73,83.59,77.2,75.32,75.15,0.17,0.83,0.51,Individual,Rename Variable
5,NB(B),73.55,74.45,71.68,73.03,73.55,73.54,0.19,0.82,0.47,Individual,Rename Variable
6,NB(G),63.05,58.14,93.23,71.61,63.05,59.35,0.36,0.8,0.33,Individual,Rename Variable
7,NB(M),73.92,70.1,83.43,76.18,73.92,73.69,0.23,0.78,0.49,Individual,Rename Variable
8,KNN,86.91,91.55,81.32,86.13,86.91,86.87,0.1,0.94,0.74,Individual,Rename Variable
0,Stack-LR,95.61,96.55,94.6,95.56,95.61,95.61,0.04,0.99,0.91,Stacking,Rename Variable
1,Stack-DT,92.87,93.16,92.54,92.85,92.87,92.87,0.07,0.93,0.86,Stacking,Rename Variable
0,TBStack-LR,99.2,99.32,99.08,99.2,99.2,99.2,0.01,1,0.98,TreeStacking,Rename Variable
1,TBStack-DT,98.8,98.89,98.71,98.8,98.8,98.8,0.01,0.99,0.98,TreeStacking,Rename Variable
0,DT,83.53,86.8,79.1,82.76,83.53,83.49,0.16,0.84,0.67,Individual,Replace Variable With Attribute
1,LR,80.51,76.67,87.72,81.82,80.51,80.41,0.14,0.89,0.62,Individual,Replace Variable With Attribute
2,SVM,81.14,77.85,87.05,82.19,81.14,81.07,0.13,0.89,0.63,Individual,Replace Variable With Attribute
3,MLP,85.5,84.79,86.57,85.64,85.5,85.5,0.11,0.93,0.71,Individual,Replace Variable With Attribute
4,SGD,79.69,75.21,88.66,81.36,79.69,79.51,0.14,0.88,0.6,Individual,Replace Variable With Attribute
5,NB(B),74.72,78.64,67.85,72.83,74.72,74.59,0.19,0.83,0.5,Individual,Replace Variable With Attribute
6,NB(G),68.77,62.27,95.25,75.31,68.77,66.41,0.31,0.74,0.44,Individual,Replace Variable With Attribute
7,NB(M),75.73,70.21,89.4,78.64,75.73,75.26,0.21,0.8,0.54,Individual,Replace Variable With Attribute
8,KNN,82.9,82.18,84.03,83.09,82.9,82.9,0.13,0.89,0.66,Individual,Replace Variable With Attribute
0,Stack-LR,86.85,86.5,87.37,86.92,86.85,86.85,0.1,0.94,0.74,Stacking,Replace Variable With Attribute
1,Stack-DT,81.06,81.59,80.27,80.9,81.06,81.06,0.19,0.81,0.62,Stacking,Replace Variable With Attribute
0,TBStack-LR,92.22,91.42,93.2,92.29,92.22,92.22,0.06,0.97,0.84,TreeStacking,Replace Variable With Attribute
1,TBStack-DT,88.06,88.76,87.15,87.94,88.06,88.05,0.12,0.88,0.76,TreeStacking,Replace Variable With Attribute
