Unnamed: 0,Classifier,Accuracy,Precision,Recall,F1-score,F1-micro,F1-weight,Brier,AUC,MCC,Type,Dataset
0,DT-PCA,71.13,73.91,65.27,69.28,71.13,71.01,0.29,0.71,0.43,Individual,Extract And Move Method
1,LR-PCA,72.35,68.73,81.94,74.73,72.35,72.08,0.19,0.8,0.46,Individual,Extract And Move Method
2,SVM-PCA,72.45,68.9,81.83,74.8,72.45,72.2,0.19,0.79,0.46,Individual,Extract And Move Method
3,MLP-PCA,76.53,74.5,80.66,77.44,76.53,76.48,0.16,0.84,0.53,Individual,Extract And Move Method
4,SGD-PCA,72.19,68.45,82.64,74.8,72.19,71.84,0.19,0.8,0.46,Individual,Extract And Move Method
5,NB(B)-PCA,68.8,68.91,68.43,68.64,68.8,68.78,0.22,0.74,0.38,Individual,Extract And Move Method
6,NB(G)-PCA,66.44,60.83,92.38,73.34,66.44,64.0,0.33,0.78,0.39,Individual,Extract And Move Method
7,KNN-PCA,74.65,74.49,74.94,74.68,74.65,74.64,0.19,0.81,0.49,Individual,Extract And Move Method
0,Stack-LR-PCA,77.46,75.49,81.32,78.26,77.46,77.41,0.16,0.85,0.55,Stacking,Extract And Move Method
1,Stack-DT-PCA,68.26,69.42,65.24,67.21,68.26,68.2,0.32,0.68,0.37,Stacking,Extract And Move Method
0,TBStack-LR-PCA,79.24,78.5,80.48,79.45,79.24,79.23,0.14,0.87,0.59,TreeStacking,Extract And Move Method
1,TBStack-DT-PCA,71.42,72.52,69.03,70.71,71.42,71.4,0.29,0.71,0.43,TreeStacking,Extract And Move Method
0,DT-PCA,63.32,59.87,81.13,68.88,63.32,62.09,0.37,0.63,0.28,Individual,Extract Method
1,LR-PCA,76.98,74.82,82.05,78.18,76.98,76.87,0.16,0.84,0.54,Individual,Extract Method
2,SVM-PCA,76.63,74.7,81.22,77.74,76.63,76.53,0.17,0.84,0.54,Individual,Extract Method
3,MLP-PCA,73.53,68.44,87.83,76.89,73.53,72.92,0.2,0.78,0.49,Individual,Extract Method
4,SGD-PCA,76.74,74.48,82.15,78.02,76.74,76.6,0.17,0.84,0.54,Individual,Extract Method
5,NB(B)-PCA,72.06,73.07,70.51,71.69,72.06,72.02,0.19,0.8,0.44,Individual,Extract Method
6,NB(G)-PCA,63.65,58.85,92.4,71.85,63.65,60.13,0.35,0.77,0.33,Individual,Extract Method
7,KNN-PCA,68.26,63.61,85.89,73.06,68.26,67.17,0.26,0.72,0.39,Individual,Extract Method
0,Stack-LR-PCA,79.93,79.21,81.55,80.3,79.93,79.9,0.14,0.87,0.6,Stacking,Extract Method
1,Stack-DT-PCA,67.25,65.06,74.82,69.57,67.25,67.03,0.33,0.67,0.35,Stacking,Extract Method
0,TBStack-LR-PCA,79.91,80.03,80.06,79.99,79.91,79.89,0.14,0.88,0.6,TreeStacking,Extract Method
1,TBStack-DT-PCA,69.29,67.39,74.94,70.94,69.29,69.17,0.31,0.69,0.39,TreeStacking,Extract Method
0,DT-PCA,75.96,78.55,71.43,74.82,75.96,75.91,0.24,0.76,0.52,Individual,Inline Method
1,LR-PCA,72.67,68.62,83.51,75.33,72.67,72.34,0.18,0.8,0.46,Individual,Inline Method
2,SVM-PCA,72.75,68.82,83.17,75.31,72.75,72.45,0.18,0.8,0.47,Individual,Inline Method
3,MLP-PCA,78.56,76.66,82.22,79.32,78.56,78.52,0.15,0.87,0.57,Individual,Inline Method
4,SGD-PCA,72.01,67.81,84.05,75.01,72.01,71.56,0.19,0.79,0.45,Individual,Inline Method
5,NB(B)-PCA,70.76,69.53,73.9,71.64,70.76,70.73,0.21,0.76,0.42,Individual,Inline Method
6,NB(G)-PCA,64.41,59.26,92.22,72.15,64.41,61.43,0.35,0.76,0.35,Individual,Inline Method
7,KNN-PCA,79.01,79.51,78.16,78.82,79.01,79.0,0.15,0.86,0.58,Individual,Inline Method
0,Stack-LR-PCA,81.69,80.63,83.44,82.0,81.69,81.69,0.13,0.89,0.63,Stacking,Inline Method
1,Stack-DT-PCA,74.02,74.85,72.36,73.58,74.02,74.01,0.26,0.74,0.48,Stacking,Inline Method
0,TBStack-LR-PCA,86.28,83.83,89.9,86.75,86.28,86.26,0.1,0.93,0.73,TreeStacking,Inline Method
1,TBStack-DT-PCA,79.09,79.89,77.75,78.8,79.09,79.09,0.21,0.79,0.58,TreeStacking,Inline Method
0,DT-PCA,81.01,85.79,74.34,79.65,81.01,80.93,0.19,0.81,0.63,Individual,Move Method
1,LR-PCA,71.81,67.69,83.41,74.73,71.81,71.42,0.19,0.79,0.45,Individual,Move Method
2,SVM-PCA,71.71,67.75,82.85,74.54,71.71,71.36,0.19,0.79,0.45,Individual,Move Method
3,MLP-PCA,78.15,76.27,81.88,78.9,78.15,78.1,0.15,0.86,0.57,Individual,Move Method
4,SGD-PCA,71.5,67.46,83.15,74.46,71.5,71.1,0.19,0.79,0.44,Individual,Move Method
5,NB(B)-PCA,69.3,68.6,71.17,69.86,69.3,69.29,0.22,0.74,0.39,Individual,Move Method
