Unnamed: 0,Classifier_1,Classifier_2,Test,Stat,p-value,Null Hypo,Win,Lost,Dataset
0,DT,LR,t-test,14.66476432225286,0.006241161,Reject,DT,LR,Extract Class
1,DT,SVM,t-test,14.66476432225286,1,Accept,,,Extract Class
2,DT,MLP,t-test,14.66476432225286,8.975686037689984e-05,Reject,MLP,DT,Extract Class
3,DT,SGD,t-test,14.66476432225286,0.001510191,Reject,DT,SGD,Extract Class
4,DT,NB(B),t-test,14.66476432225286,0.000129107,Reject,DT,NB(B),Extract Class
5,DT,NB(G),t-test,14.66476432225286,1.24387830741756e-05,Reject,DT,NB(G),Extract Class
6,DT,NB(M),t-test,14.66476432225286,0.001186168,Reject,DT,NB(M),Extract Class
7,DT,KNN,t-test,14.66476432225286,0.1171489524945871,Accept,,,Extract Class
9,DT,Stack-LR,t-test,14.66476432225286,0.00018443,Reject,Stack-LR,DT,Extract Class
10,DT,Stack-DT,t-test,14.66476432225286,0.6184186670614527,Accept,,,Extract Class
11,DT,TBStack-LR,t-test,14.66476432225286,1.325464514135873e-05,Reject,TBStack-LR,DT,Extract Class
12,DT,TBStack-DT,t-test,14.66476432225286,1,Accept,,,Extract Class
13,LR,SVM,t-test,14.66476432225286,3.351185574371998e-05,Reject,SVM,LR,Extract Class
14,LR,MLP,t-test,14.66476432225286,1.497584912875667e-05,Reject,MLP,LR,Extract Class
15,LR,SGD,t-test,14.66476432225286,1,Accept,,,Extract Class
16,LR,NB(B),t-test,14.66476432225286,0.041476481,Reject,LR,NB(B),Extract Class
17,LR,NB(G),t-test,14.66476432225286,7.435253020822816e-05,Reject,LR,NB(G),Extract Class
18,LR,NB(M),t-test,14.66476432225286,1,Accept,,,Extract Class
19,LR,KNN,t-test,14.66476432225286,0.1522861515531734,Accept,,,Extract Class
21,LR,Stack-LR,t-test,14.66476432225286,2.707604880525429e-05,Reject,Stack-LR,LR,Extract Class
22,LR,Stack-DT,t-test,14.66476432225286,0.6733839084980793,Accept,,,Extract Class
23,LR,TBStack-LR,t-test,14.66476432225286,4.608000213281247e-05,Reject,TBStack-LR,LR,Extract Class
24,LR,TBStack-DT,t-test,14.66476432225286,0.035559712,Reject,TBStack-DT,LR,Extract Class
25,SVM,MLP,t-test,14.66476432225286,0.000101462,Reject,MLP,SVM,Extract Class
26,SVM,SGD,t-test,14.66476432225286,0.001962391,Reject,SVM,SGD,Extract Class
27,SVM,NB(B),t-test,14.66476432225286,0.004560853,Reject,SVM,NB(B),Extract Class
28,SVM,NB(G),t-test,14.66476432225286,1.796055685599361e-05,Reject,SVM,NB(G),Extract Class
29,SVM,NB(M),t-test,14.66476432225286,0.03858442,Reject,SVM,NB(M),Extract Class
30,SVM,KNN,t-test,14.66476432225286,1,Accept,,,Extract Class
32,SVM,Stack-LR,t-test,14.66476432225286,0.000125498,Reject,Stack-LR,SVM,Extract Class
33,SVM,Stack-DT,t-test,14.66476432225286,1,Accept,,,Extract Class
34,SVM,TBStack-LR,t-test,14.66476432225286,0.000169471,Reject,TBStack-LR,SVM,Extract Class
35,SVM,TBStack-DT,t-test,14.66476432225286,1,Accept,,,Extract Class
36,MLP,SGD,t-test,14.66476432225286,2.467978844260665e-05,Reject,MLP,SGD,Extract Class
37,MLP,NB(B),t-test,14.66476432225286,8.349955671904059e-05,Reject,MLP,NB(B),Extract Class
38,MLP,NB(G),t-test,14.66476432225286,1.624926988927624e-06,Reject,MLP,NB(G),Extract Class
39,MLP,NB(M),t-test,14.66476432225286,4.861373746859462e-05,Reject,MLP,NB(M),Extract Class
40,MLP,KNN,t-test,14.66476432225286,1.02791912414899e-05,Reject,MLP,KNN,Extract Class
42,MLP,Stack-LR,t-test,14.66476432225286,1,Accept,,,Extract Class
43,MLP,Stack-DT,t-test,14.66476432225286,3.974587552963569e-06,Reject,MLP,Stack-DT,Extract Class
44,MLP,TBStack-LR,t-test,14.66476432225286,0.046462163,Reject,TBStack-LR,MLP,Extract Class
45,MLP,TBStack-DT,t-test,14.66476432225286,0.0006095,Reject,MLP,TBStack-DT,Extract Class
46,SGD,NB(B),t-test,14.66476432225286,0.044083241,Reject,SGD,NB(B),Extract Class
47,SGD,NB(G),t-test,14.66476432225286,0.000301465,Reject,SGD,NB(G),Extract Class
48,SGD,NB(M),t-test,14.66476432225286,1,Accept,,,Extract Class
49,SGD,KNN,t-test,14.66476432225286,0.056289571,Accept,,,Extract Class
51,SGD,Stack-LR,t-test,14.66476432225286,4.746329273663518e-05,Reject,Stack-LR,SGD,Extract Class
52,SGD,Stack-DT,t-test,14.66476432225286,0.193328984,Accept,,,Extract Class
53,SGD,TBStack-LR,t-test,14.66476432225286,6.333806640792519e-05,Reject,TBStack-LR,SGD,Extract Class
54,SGD,TBStack-DT,t-test,14.66476432225286,0.01474197,Reject,TBStack-DT,SGD,Extract Class
55,NB(B),NB(G),t-test,14.66476432225286,0.016091266,Reject,NB(B),NB(G),Extract Class
56,NB(B),NB(M),t-test,14.66476432225286,0.030775442,Reject,NB(M),NB(B),Extract Class
57,NB(B),KNN,t-test,14.66476432225286,0.004220946,Reject,KNN,NB(B),Extract Class
59,NB(B),Stack-LR,t-test,14.66476432225286,0.000114349,Reject,Stack-LR,NB(B),Extract Class
60,NB(B),Stack-DT,t-test,14.66476432225286,0.008141078,Reject,Stack-DT,NB(B),Extract Class
61,NB(B),TBStack-LR,t-test,14.66476432225286,3.588630315578408e-05,Reject,TBStack-LR,NB(B),Extract Class
62,NB(B),TBStack-DT,t-test,14.66476432225286,0.000875636,Reject,TBStack-DT,NB(B),Extract Class
63,NB(G),NB(M),t-test,14.66476432225286,0.000179541,Reject,NB(M),NB(G),Extract Class
64,NB(G),KNN,t-test,14.66476432225286,1.061266344381349e-05,Reject,KNN,NB(G),Extract Class
66,NB(G),Stack-LR,t-test,14.66476432225286,9.414255552401599e-07,Reject,Stack-LR,NB(G),Extract Class
