Unnamed: 0,Classifier_1,Classifier_2,Test,Stat,p-value,Null Hypo,Win,Lost,Dataset
0,DT,LR,t-test,11.6098622,0.044331342,Reject,LR,DT,Extract Variable
1,DT,SVM,t-test,11.6098622,0.052018272,Accept,,,Extract Variable
2,DT,MLP,t-test,11.6098622,0.000274203,Reject,MLP,DT,Extract Variable
3,DT,SGD,t-test,11.6098622,0.08939868,Accept,,,Extract Variable
4,DT,NB(B),t-test,11.6098622,1,Accept,,,Extract Variable
5,DT,NB(G),t-test,11.6098622,0.000263355,Reject,DT,NB(G),Extract Variable
6,DT,NB(M),t-test,11.6098622,1,Accept,,,Extract Variable
7,DT,KNN,t-test,11.6098622,0.065241642,Accept,,,Extract Variable
9,DT,Stack-LR,t-test,11.6098622,0.000908858,Reject,Stack-LR,DT,Extract Variable
10,DT,Stack-DT,t-test,11.6098622,1,Accept,,,Extract Variable
11,DT,TBStack-LR,t-test,11.6098622,0.000194858,Reject,TBStack-LR,DT,Extract Variable
12,DT,TBStack-DT,t-test,11.6098622,1,Accept,,,Extract Variable
13,LR,SVM,t-test,11.6098622,1,Accept,,,Extract Variable
14,LR,MLP,t-test,11.6098622,0.002357351,Reject,MLP,LR,Extract Variable
15,LR,SGD,t-test,11.6098622,1,Accept,,,Extract Variable
16,LR,NB(B),t-test,11.6098622,0.001574464,Reject,LR,NB(B),Extract Variable
17,LR,NB(G),t-test,11.6098622,1.098697007215134e-05,Reject,LR,NB(G),Extract Variable
18,LR,NB(M),t-test,11.6098622,0.000657806,Reject,LR,NB(M),Extract Variable
19,LR,KNN,t-test,11.6098622,1,Accept,,,Extract Variable
21,LR,Stack-LR,t-test,11.6098622,0.000307523,Reject,Stack-LR,LR,Extract Variable
22,LR,Stack-DT,t-test,11.6098622,6.644150944006161e-05,Reject,LR,Stack-DT,Extract Variable
23,LR,TBStack-LR,t-test,11.6098622,0.000103933,Reject,TBStack-LR,LR,Extract Variable
24,LR,TBStack-DT,t-test,11.6098622,0.028838025,Reject,LR,TBStack-DT,Extract Variable
25,SVM,MLP,t-test,11.6098622,0.028839734,Reject,MLP,SVM,Extract Variable
26,SVM,SGD,t-test,11.6098622,1,Accept,,,Extract Variable
27,SVM,NB(B),t-test,11.6098622,0.001222382,Reject,SVM,NB(B),Extract Variable
28,SVM,NB(G),t-test,11.6098622,1.91905351305088e-05,Reject,SVM,NB(G),Extract Variable
29,SVM,NB(M),t-test,11.6098622,0.002255925,Reject,SVM,NB(M),Extract Variable
30,SVM,KNN,t-test,11.6098622,1,Accept,,,Extract Variable
32,SVM,Stack-LR,t-test,11.6098622,0.00347218,Reject,Stack-LR,SVM,Extract Variable
33,SVM,Stack-DT,t-test,11.6098622,0.000101478,Reject,SVM,Stack-DT,Extract Variable
34,SVM,TBStack-LR,t-test,11.6098622,0.000818207,Reject,TBStack-LR,SVM,Extract Variable
35,SVM,TBStack-DT,t-test,11.6098622,0.04560744,Reject,SVM,TBStack-DT,Extract Variable
36,MLP,SGD,t-test,11.6098622,0.088796991,Accept,,,Extract Variable
37,MLP,NB(B),t-test,11.6098622,0.000132967,Reject,MLP,NB(B),Extract Variable
38,MLP,NB(G),t-test,11.6098622,3.434314670894078e-07,Reject,MLP,NB(G),Extract Variable
39,MLP,NB(M),t-test,11.6098622,5.105442748525924e-07,Reject,MLP,NB(M),Extract Variable
40,MLP,KNN,t-test,11.6098622,0.1118415601416943,Accept,,,Extract Variable
42,MLP,Stack-LR,t-test,11.6098622,1,Accept,,,Extract Variable
43,MLP,Stack-DT,t-test,11.6098622,2.035912112527412e-06,Reject,MLP,Stack-DT,Extract Variable
44,MLP,TBStack-LR,t-test,11.6098622,0.024831915,Reject,TBStack-LR,MLP,Extract Variable
45,MLP,TBStack-DT,t-test,11.6098622,0.000201421,Reject,MLP,TBStack-DT,Extract Variable
46,SGD,NB(B),t-test,11.6098622,0.002975494,Reject,SGD,NB(B),Extract Variable
47,SGD,NB(G),t-test,11.6098622,5.145039814381748e-05,Reject,SGD,NB(G),Extract Variable
48,SGD,NB(M),t-test,11.6098622,0.021622199,Reject,SGD,NB(M),Extract Variable
49,SGD,KNN,t-test,11.6098622,1,Accept,,,Extract Variable
51,SGD,Stack-LR,t-test,11.6098622,0.015899722,Reject,Stack-LR,SGD,Extract Variable
52,SGD,Stack-DT,t-test,11.6098622,7.113847961885942e-05,Reject,SGD,Stack-DT,Extract Variable
53,SGD,TBStack-LR,t-test,11.6098622,0.001676242,Reject,TBStack-LR,SGD,Extract Variable
54,SGD,TBStack-DT,t-test,11.6098622,0.2174985400623364,Accept,,,Extract Variable
55,NB(B),NB(G),t-test,11.6098622,0.088375693,Accept,,,Extract Variable
56,NB(B),NB(M),t-test,11.6098622,0.094364872,Accept,,,Extract Variable
57,NB(B),KNN,t-test,11.6098622,0.005304064,Reject,KNN,NB(B),Extract Variable
59,NB(B),Stack-LR,t-test,11.6098622,5.305677500447314e-05,Reject,Stack-LR,NB(B),Extract Variable
60,NB(B),Stack-DT,t-test,11.6098622,1,Accept,,,Extract Variable
61,NB(B),TBStack-LR,t-test,11.6098622,6.499471542591765e-05,Reject,TBStack-LR,NB(B),Extract Variable
62,NB(B),TBStack-DT,t-test,11.6098622,0.038871566,Reject,TBStack-DT,NB(B),Extract Variable
63,NB(G),NB(M),t-test,11.6098622,6.31549484955967e-06,Reject,NB(M),NB(G),Extract Variable
64,NB(G),KNN,t-test,11.6098622,9.840349744441345e-06,Reject,KNN,NB(G),Extract Variable
66,NB(G),Stack-LR,t-test,11.6098622,2.313819598283624e-06,Reject,Stack-LR,NB(G),Extract Variable
67,NB(G),Stack-DT,t-test,11.6098622,0.000258207,Reject,Stack-DT,NB(G),Extract Variable
68,NB(G),TBStack-LR,t-test,11.6098622,4.95522104632654e-07,Reject,TBStack-LR,NB(G),Extract Variable
