Unnamed: 0,Classifier_1,Classifier_2,Test,Stat,p-value,Null Hypo,Win,Lost,Dataset
0,DT-PCA,LR-PCA,t-test,12.53906597505402,1.0,Accept,,,Extract And Move Method
1,DT-PCA,SVM-PCA,t-test,12.53906597505402,1.0,Accept,,,Extract And Move Method
2,DT-PCA,MLP-PCA,t-test,12.53906597505402,0.0005679065939308023,Reject,MLP-PCA,DT-PCA,Extract And Move Method
3,DT-PCA,SGD-PCA,t-test,12.53906597505402,1.0,Accept,,,Extract And Move Method
4,DT-PCA,NB(B)-PCA,t-test,12.53906597505402,0.01596492059849587,Reject,DT-PCA,NB(B)-PCA,Extract And Move Method
5,DT-PCA,NB(G)-PCA,t-test,12.53906597505402,0.15234375,Accept,,,Extract And Move Method
6,DT-PCA,KNN-PCA,t-test,12.53906597505402,0.007790973557443205,Reject,KNN-PCA,DT-PCA,Extract And Move Method
8,DT-PCA,Stack-LR-PCA,t-test,12.53906597505402,7.032977430039047e-06,Reject,Stack-LR-PCA,DT-PCA,Extract And Move Method
9,DT-PCA,Stack-DT-PCA,t-test,12.53906597505402,0.1248760681932633,Accept,,,Extract And Move Method
10,DT-PCA,TBStack-LR-PCA,t-test,12.53906597505402,9.047400872844025e-07,Reject,TBStack-LR-PCA,DT-PCA,Extract And Move Method
11,DT-PCA,TBStack-DT-PCA,t-test,12.53906597505402,1.0,Accept,,,Extract And Move Method
12,LR-PCA,SVM-PCA,t-test,12.53906597505402,1.0,Accept,,,Extract And Move Method
13,LR-PCA,MLP-PCA,t-test,12.53906597505402,0.0001304107381060536,Reject,MLP-PCA,LR-PCA,Extract And Move Method
14,LR-PCA,SGD-PCA,t-test,12.53906597505402,1.0,Accept,,,Extract And Move Method
15,LR-PCA,NB(B)-PCA,t-test,12.53906597505402,0.0003649801118764004,Reject,LR-PCA,NB(B)-PCA,Extract And Move Method
16,LR-PCA,NB(G)-PCA,t-test,12.53906597505402,0.15234375,Accept,,,Extract And Move Method
17,LR-PCA,KNN-PCA,t-test,12.53906597505402,0.0003081492219105051,Reject,KNN-PCA,LR-PCA,Extract And Move Method
19,LR-PCA,Stack-LR-PCA,t-test,12.53906597505402,7.222590860250738e-06,Reject,Stack-LR-PCA,LR-PCA,Extract And Move Method
20,LR-PCA,Stack-DT-PCA,t-test,12.53906597505402,0.004472745355330468,Reject,LR-PCA,Stack-DT-PCA,Extract And Move Method
21,LR-PCA,TBStack-LR-PCA,t-test,12.53906597505402,1.413863158159775e-05,Reject,TBStack-LR-PCA,LR-PCA,Extract And Move Method
22,LR-PCA,TBStack-DT-PCA,t-test,12.53906597505402,1.0,Accept,,,Extract And Move Method
23,SVM-PCA,MLP-PCA,t-test,12.53906597505402,3.164202568302225e-05,Reject,MLP-PCA,SVM-PCA,Extract And Move Method
24,SVM-PCA,SGD-PCA,t-test,12.53906597505402,1.0,Accept,,,Extract And Move Method
25,SVM-PCA,NB(B)-PCA,t-test,12.53906597505402,0.0003590247044749564,Reject,SVM-PCA,NB(B)-PCA,Extract And Move Method
